"date","year","month","mean_pet","min_pet","max_pet","std_dev"
"1950-01",1950,1,0.0194263912774007,0,0.0901171562191159,0.012455807326573
"1950-02",1950,2,0,0,0,0
"1950-03",1950,3,0.0290768336179728,0,0.162762663565296,0.0352587194389037
"1950-04",1950,4,0.041322962063197,0,0.179378499987916,0.0418038565146132
"1950-05",1950,5,0.243480893512384,0.00206916002050004,0.556468120665741,0.124560649225725
"1950-06",1950,6,0.184160940175856,0,0.504592839858683,0.123749503154151
"1950-07",1950,7,0.572768091797798,0.0565399443787528,1.01580349467902,0.21768395411651
"1950-08",1950,8,0.358520894534632,0.00672400078223635,0.629561178670172,0.137352255271652
"1950-09",1950,9,0.300130105191024,0.0411411740167094,0.551396565374922,0.102220107515277
"1950-10",1950,10,0.309843913636021,0.15433589417115,0.528785255170708,0.0725024970288439
"1950-11",1950,11,0.161330772539026,0.110569344650199,0.223927916506702,0.0244573419602982
"1950-12",1950,12,0.0110786337107562,0,0.0853093000738368,0.0189107776721905
"1951-01",1951,1,0.0871360928587211,0.0424953744736821,0.172428496570162,0.0233644658062033
"1951-02",1951,2,0.00170147308400703,0,0.0633095704579592,0.00642625609908792
"1951-03",1951,3,0.0216601226526447,0,0.126265551085322,0.0291303512157775
"1951-04",1951,4,0.0281384349546018,0,0.132956637410014,0.0331366143154914
"1951-05",1951,5,0.111157460430751,0,0.280540093461964,0.0752963102085348
"1951-06",1951,6,0.435203578950071,0,0.845342344410211,0.193736169005026
"1951-07",1951,7,0.318517471225616,0,0.672414959867158,0.174683337734579
"1951-08",1951,8,0.458571064039182,0,0.758095448638515,0.145226810859096
"1951-09",1951,9,0.257714755398408,0.00320042507845766,0.484205231983518,0.0804559348796332
"1951-10",1951,10,0.250718016337828,0.187501674552759,0.354070065082642,0.0353797043119743
"1951-11",1951,11,0.13535205008549,0.0626177314136584,0.317330083789389,0.0457973199178721
"1951-12",1951,12,0.109740460873268,0.070417438021133,0.168902917799244,0.0184416747233714
