"date","value"
1950-06-01,-1.04646026087514
1950-07-01,-0.574041702809754
1950-08-01,-0.896199530050598
1950-09-01,-1.20495787175693
1950-10-01,-1.63492799890385
1950-11-01,-1.09636030980573
1950-12-01,-0.610752489307543
1951-01-01,-0.880658472408942
1951-02-01,-0.891407068370197
1951-03-01,-0.529491622178453
1951-04-01,-0.670682722379223
1951-05-01,-0.622390236617208
1951-06-01,-1.29421467387929
1951-07-01,-0.540642280122935
1951-08-01,-0.724889991166114
1951-09-01,-0.99933330662252
1951-10-01,-0.53694126677175
1951-11-01,-1.08691671263985
1951-12-01,-0.924721753816187
1952-01-01,-1.02264383798785
1952-02-01,-0.775846291659207
1952-03-01,-0.600634614442065
1952-04-01,-0.454775186357122
1952-05-01,-0.694614820320691
1952-06-01,0.0192957506351368
1952-07-01,-0.798138761387337
1952-08-01,-1.0052031614196
1952-09-01,-1.13071935690758
1952-10-01,-1.88987252431011
1952-11-01,-1.49288344647899
1952-12-01,-1.43481957652133
1953-01-01,-1.03699401760981
1953-02-01,-0.892251545205773
1953-03-01,-0.795441215837589
1953-04-01,-0.0767395675382121
1953-05-01,-0.0348203353729202
1953-06-01,0.127967270276894
1953-07-01,0.657319138924395
1953-08-01,0.534525461062869
1953-09-01,0.438595897358154
1953-10-01,0.807638777301447
1953-11-01,1.07275254115394
1953-12-01,1.22540353008842
1954-01-01,0.452381841650951
1954-02-01,1.75654809234103
1954-03-01,1.32537915225347
1954-04-01,1.38435951253474
1954-05-01,1.20015294473801
1954-06-01,0.774570145323554
1954-07-01,1.1968882740191
1954-08-01,0.589685228767959
1954-09-01,1.36008516454798
1954-10-01,1.27723829721907
1954-11-01,1.51213446725237
1954-12-01,2.00895228944047
1955-01-01,2.04459067729131
1955-02-01,1.14706433878482
1955-03-01,1.00508307138815
1955-04-01,0.981529960968081
1955-05-01,0.68818869967735
1955-06-01,-0.0486621078973227
1955-07-01,0.56598811728083
1955-08-01,0.269067733012545
1955-09-01,-0.304752762228985
1955-10-01,0.0734066042513929
1955-11-01,-0.0822910914047258
1955-12-01,-0.240368613588249
1956-01-01,-0.716215032760878
1956-02-01,-0.665037728417363
1956-03-01,-0.206444995998156
1956-04-01,-0.826926227261826
1956-05-01,-1.48752592752049
1956-06-01,-1.08502676718834
1956-07-01,-1.04202678646324
1956-08-01,-1.13735748435826
1956-09-01,-1.53991501269971
1956-10-01,-1.38295651232298
1956-11-01,-0.663913935909285
1956-12-01,0.310517435833448
1957-01-01,-0.171396161019687
1957-02-01,-0.000500825908218975
1957-03-01,0.249067985856687
1957-04-01,0.247167983983464
1957-05-01,0.163871703441362
1957-06-01,-1.00570464756342
1957-07-01,0.195098843355879
1957-08-01,1.14739147848522
1957-09-01,0.978149255031485
1957-10-01,0.664600222724863
1957-11-01,0.667167673258599
1957-12-01,1.20435926543895
1958-01-01,1.00114375360358
1958-02-01,0.31321995506761
1958-03-01,0.671124795171406
1958-04-01,0.987515473830041
1958-05-01,0.33225376866727
1958-06-01,-0.597129866067937
1958-07-01,-1.66158227512251
1958-08-01,-1.47095681901099
1958-09-01,-0.947968646331694
1958-10-01,-1.0260633990963
1958-11-01,-0.865651217064163
1958-12-01,-0.317655481641943
1959-01-01,0.420360388677483
1959-02-01,0.210856318155561
1959-03-01,0.0484724642869185
1959-04-01,0.229479544376938
1959-05-01,0.925576397433365
1959-06-01,1.07980984828719
1959-07-01,0.645662875206899
1959-08-01,1.21812061044359
1959-09-01,1.49674140529043
1959-10-01,1.56568930843263
1959-11-01,1.38329973474883
1959-12-01,1.04081841379966
1960-01-01,0.947255118536238
1960-02-01,0.315895224443847
1960-03-01,0.30779543154711
1960-04-01,0.13627007287391
1960-05-01,0.445606937511381
1960-06-01,0.115829018736684
1960-07-01,0.215938530050559
1960-08-01,0.51092197456095
1960-09-01,-0.171612422494805
1960-10-01,0.492432322172257
1960-11-01,-0.301657716386619
1960-12-01,-0.651847262166854
1961-01-01,-0.268915514854794
1961-02-01,0.0890076963847209
1961-03-01,0.331865174686233
1961-04-01,-0.303338215350441
1961-05-01,0.168742644050823
1961-06-01,0.0911949190574314
1961-07-01,-0.566634175073686
