"date","value"
1950-12-01,-1.14439606593516
1951-01-01,-1.05298230128706
1951-02-01,-1.3106387242095
1951-03-01,-1.14574379596374
1951-04-01,-1.59781014953774
1951-05-01,-1.19784205674892
1951-06-01,-1.16248710054624
1951-07-01,-0.876929443860794
1951-08-01,-1.05747295957364
1951-09-01,-0.961024489332574
1951-10-01,-0.707718824364856
1951-11-01,-1.2559882092958
1951-12-01,-1.65102648665909
1952-01-01,-1.22773473965677
1952-02-01,-1.08793043827672
1952-03-01,-1.06155124464616
1952-04-01,-0.492181815063054
1952-05-01,-1.11861414532545
1952-06-01,-0.614543682946263
1952-07-01,-1.08333508526214
1952-08-01,-1.08395934345721
1952-09-01,-0.966114397104383
1952-10-01,-1.58416818463368
1952-11-01,-1.47488519564058
1952-12-01,-1.07353786242461
1953-01-01,-1.19736974474382
1953-02-01,-1.21310674415294
1953-03-01,-1.10392282665591
1953-04-01,-1.28690318771946
1953-05-01,-1.05623381075105
1953-06-01,-1.06317745342744
1953-07-01,-0.42351855223395
1953-08-01,-0.369424622364079
1953-09-01,-0.363740276653889
1953-10-01,0.346840546288488
1953-11-01,0.745965046119856
1953-12-01,0.9304096839059
1954-01-01,0.75188160793138
1954-02-01,1.46277849211121
1954-03-01,1.15632293813698
1954-04-01,1.27066292120772
1954-05-01,1.29831332627358
1954-06-01,1.22922981899016
1954-07-01,0.935188256226501
1954-08-01,1.337819768775
1954-09-01,1.49575930356266
1954-10-01,1.44554871819531
1954-11-01,1.52075075809979
1954-12-01,1.63759295873788
1955-01-01,1.79980458121862
1955-02-01,1.05545418265193
1955-03-01,1.32328523597292
1955-04-01,1.17739446626007
1955-05-01,1.30866969897607
1955-06-01,1.14484881301278
1955-07-01,1.27738720168408
1955-08-01,0.92960025625388
1955-09-01,0.546467383363135
1955-10-01,0.689191275528594
1955-11-01,0.409585825116065
1955-12-01,-0.155197531824521
1956-01-01,-0.245264621734757
1956-02-01,-0.322020229515495
1956-03-01,-0.357734414307359
1956-04-01,-0.512386078434506
1956-05-01,-1.00240603184274
1956-06-01,-0.799080384987558
1956-07-01,-1.0454948896463
1956-08-01,-1.1866316422011
1956-09-01,-1.11024802496661
1956-10-01,-1.45167723465001
1956-11-01,-1.47196648694518
1956-12-01,-0.301891143547049
1957-01-01,-0.590293517894601
1957-02-01,-0.612173368664306
1957-03-01,-0.7633281463186
1957-04-01,-0.661188483134741
1957-05-01,-0.333391471693104
1957-06-01,-0.283179516398411
1957-07-01,0.13629949552801
1957-08-01,0.692712834821569
1957-09-01,0.622728361733726
1957-10-01,0.414540673535812
1957-11-01,0.515290226373901
1957-12-01,0.123885040030528
1958-01-01,0.723654787203117
1958-02-01,0.897473187250227
1958-03-01,0.915039766568076
1958-04-01,0.870376716268208
1958-05-01,0.639468637262422
1958-06-01,0.396947030753222
1958-07-01,-0.249499948895479
1958-08-01,-0.5342161245103
1958-09-01,0.0544397640108186
1958-10-01,0.165639413025895
1958-11-01,-0.266166357745347
1958-12-01,-0.403155497800796
1959-01-01,-0.453140148545017
1959-02-01,-0.610135160521051
1959-03-01,-0.374570678119287
1959-04-01,-0.249879398946993
1959-05-01,0.0808961755843019
