Hylak_id,Lake_name,Elevation_m,Volume_m3,Volume_Mm3,Method
591,Nechako Reservoir,846.25,21482386990.9941,21482.3869909941,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,846.5,21634420517.9122,21634.4205179122,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,846.75,21786811015.6585,21786.8110156585,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,847,21939557649.9883,21939.5576499883,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,847.25,22092659592.479,22092.659592479,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,847.5,22246116020.4618,22246.1160204618,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,847.75,22399926116.9563,22399.9261169563,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,848,22554089070.6048,22554.0890706048,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,848.25,22708604075.6079,22708.6040756079,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,848.5,22863470331.6621,22863.4703316621,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,848.75,23018687043.8967,23018.6870438967,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,849,23174253422.8132,23174.2534228132,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,849.25,23330168684.2247,23330.1686842247,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,849.5,23486432049.1971,23486.4320491971,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,849.75,23643042743.99,23643.04274399,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,850,2.38e+10,23800,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,850.25,23957303053.7035,23957.3030537035,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,850.5,24114951146.6014,24114.9511466014,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,850.75,24272943525.1639,24272.9435251639,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,851,24431279440.7768,24431.2794407768,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,851.25,24589958149.6881,24589.9581496881,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,851.5,24748978912.9554,24748.9789129554,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,851.75,24908340996.3949,24908.3409963949,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,852,25068043670.5299,25068.0436705299,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,852.25,25228086210.541,25228.086210541,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,852.5,25388467896.2167,25388.4678962167,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,852.75,25549188011.9049,25549.1880119049,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,853,25710245846.4648,25710.2458464648,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,853.25,25871640693.22,25871.64069322,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,853.5,26033371849.9115,26033.3718499115,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,853.75,26195438618.6523,26195.4386186523,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,854,26357840305.8821,26357.8403058821,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,854.25,26520576222.3228,26520.5762223228,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,854.5,26683645682.9344,26683.6456829344,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,854.75,26847048006.872,26847.048006872,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,855,27010782517.4432,27010.7825174432,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,855.25,27174848542.0657,27174.8485420657,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,855.5,27339245412.2262,27339.2454122262,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,855.75,27503972463.4396,27503.9724634396,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,856,27669029035.2083,27669.0290352083,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,856.25,27834414470.9828,27834.4144709828,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,856.5,28000128118.1225,28000.1281181225,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,856.75,28166169327.8568,28166.1693278568,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,857,28332537455.2475,28332.5374552475,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,857.25,28499231859.1508,28499.2318591508,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,857.5,28666251902.1802,28666.2519021802,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,857.75,28833596950.6704,28833.5969506705,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,858,29001266374.6408,29001.2663746408,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,858.25,29169259547.7601,29169.2595477601,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,858.5,29337575847.311,29337.575847311,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,858.75,29506214654.156,29506.214654156,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,859,29675175352.7029,29675.1753527029,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,859.25,29844457330.8711,29844.4573308711,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,859.5,30014059980.0585,30014.0599800585,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,859.75,30183982695.1085,30183.9826951085,HydroLAKES_parabolic_estimate
591,Nechako Reservoir,860,30354224874.2779,30354.2248742779,HydroLAKES_parabolic_estimate
557,Stuart,830,74611463618.1642,74611.4636181642,HydroLAKES_parabolic_estimate
557,Stuart,830.25,74709727094.5645,74709.7270945645,HydroLAKES_parabolic_estimate
557,Stuart,830.5,74808033670.8746,74808.0336708746,HydroLAKES_parabolic_estimate
557,Stuart,830.75,74906383328.2067,74906.3833282067,HydroLAKES_parabolic_estimate
557,Stuart,831,75004776047.6979,75004.7760476979,HydroLAKES_parabolic_estimate
557,Stuart,831.25,75103211810.5101,75103.2118105101,HydroLAKES_parabolic_estimate
557,Stuart,831.5,75201690597.8297,75201.6905978297,HydroLAKES_parabolic_estimate
557,Stuart,831.75,75300212390.868,75300.212390868,HydroLAKES_parabolic_estimate
557,Stuart,832,75398777170.8607,75398.7771708607,HydroLAKES_parabolic_estimate
557,Stuart,832.25,75497384919.0681,75497.3849190681,HydroLAKES_parabolic_estimate
557,Stuart,832.5,75596035616.7751,75596.0356167751,HydroLAKES_parabolic_estimate
557,Stuart,832.75,75694729245.2909,75694.7292452909,HydroLAKES_parabolic_estimate
557,Stuart,833,75793465785.949,75793.4657859491,HydroLAKES_parabolic_estimate
557,Stuart,833.25,75892245220.1075,75892.2452201075,HydroLAKES_parabolic_estimate
557,Stuart,833.5,75991067529.1486,75991.0675291486,HydroLAKES_parabolic_estimate
557,Stuart,833.75,76089932694.4786,76089.9326944786,HydroLAKES_parabolic_estimate
557,Stuart,834,76188840697.5282,76188.8406975282,HydroLAKES_parabolic_estimate
557,Stuart,834.25,76287791519.7522,76287.7915197522,HydroLAKES_parabolic_estimate
557,Stuart,834.5,76386785142.6293,76386.7851426293,HydroLAKES_parabolic_estimate
557,Stuart,834.75,76485821547.6623,76485.8215476623,HydroLAKES_parabolic_estimate
557,Stuart,835,76584900716.3779,76584.9007163779,HydroLAKES_parabolic_estimate
557,Stuart,835.25,76684022630.327,76684.022630327,HydroLAKES_parabolic_estimate
557,Stuart,835.5,76783187271.0839,76783.1872710839,HydroLAKES_parabolic_estimate
557,Stuart,835.75,76882394620.2471,76882.3946202471,HydroLAKES_parabolic_estimate
557,Stuart,836,76981644659.4385,76981.6446594385,HydroLAKES_parabolic_estimate
557,Stuart,836.25,77080937370.3041,77080.9373703041,HydroLAKES_parabolic_estimate
557,Stuart,836.5,77180272734.5133,77180.2727345133,HydroLAKES_parabolic_estimate
557,Stuart,836.75,77279650733.7591,77279.6507337591,HydroLAKES_parabolic_estimate
557,Stuart,837,77379071349.7581,77379.0713497581,HydroLAKES_parabolic_estimate
557,Stuart,837.25,77478534564.2504,77478.5345642504,HydroLAKES_parabolic_estimate
557,Stuart,837.5,77578040358.9997,77578.0403589997,HydroLAKES_parabolic_estimate
557,Stuart,837.75,77677588715.7928,77677.5887157928,HydroLAKES_parabolic_estimate
557,Stuart,838,77777179616.44,77777.17961644,HydroLAKES_parabolic_estimate
557,Stuart,838.25,77876813042.7751,77876.8130427751,HydroLAKES_parabolic_estimate
557,Stuart,838.5,77976488976.6548,77976.4889766548,HydroLAKES_parabolic_estimate
557,Stuart,838.75,78076207399.9592,78076.2073999592,HydroLAKES_parabolic_estimate
557,Stuart,839,78175968294.5915,78175.9682945915,HydroLAKES_parabolic_estimate
557,Stuart,839.25,78275771642.4781,78275.7716424781,HydroLAKES_parabolic_estimate
557,Stuart,839.5,78375617425.5683,78375.6174255683,HydroLAKES_parabolic_estimate
557,Stuart,839.75,78475505625.8345,78475.5056258345,HydroLAKES_parabolic_estimate
557,Stuart,840,78575436225.2721,78575.4362252721,HydroLAKES_parabolic_estimate
557,Stuart,840.25,78675409205.8992,78675.4092058992,HydroLAKES_parabolic_estimate
557,Stuart,840.5,78775424549.7571,78775.4245497571,HydroLAKES_parabolic_estimate
557,Stuart,840.75,78875482238.9095,78875.4822389095,HydroLAKES_parabolic_estimate
557,Stuart,841,78975582255.4432,78975.5822554432,HydroLAKES_parabolic_estimate
557,Stuart,841.25,79075724581.4676,79075.7245814676,HydroLAKES_parabolic_estimate
557,Stuart,841.5,79175909199.1147,79175.9091991147,HydroLAKES_parabolic_estimate
557,Stuart,841.75,79276136090.5392,79276.1360905392,HydroLAKES_parabolic_estimate
557,Stuart,842,79376405237.9184,79376.4052379184,HydroLAKES_parabolic_estimate
557,Stuart,842.25,79476716623.452,79476.716623452,HydroLAKES_parabolic_estimate
557,Stuart,842.5,79577070229.3623,79577.0702293623,HydroLAKES_parabolic_estimate
557,Stuart,842.75,79677466037.894,79677.4660378939,HydroLAKES_parabolic_estimate
557,Stuart,843,79777904031.314,79777.904031314,HydroLAKES_parabolic_estimate
557,Stuart,843.25,79878384191.9118,79878.3841919118,HydroLAKES_parabolic_estimate
557,Stuart,843.5,79978906501.9991,79978.9065019991,HydroLAKES_parabolic_estimate
557,Stuart,843.75,80079470943.9098,80079.4709439098,HydroLAKES_parabolic_estimate
557,Stuart,844,80180077500,80180.0775,HydroLAKES_parabolic_estimate
557,Stuart,844.25,80280726152.648,80280.726152648,HydroLAKES_parabolic_estimate
557,Stuart,844.5,80381416884.2541,80381.4168842541,HydroLAKES_parabolic_estimate
557,Stuart,844.75,80482149677.2409,80482.1496772409,HydroLAKES_parabolic_estimate
557,Stuart,845,80582924514.0525,80582.9245140525,HydroLAKES_parabolic_estimate
557,Stuart,845.25,80683741377.1556,80683.7413771556,HydroLAKES_parabolic_estimate
557,Stuart,845.5,80784600249.0384,80784.6002490384,HydroLAKES_parabolic_estimate
557,Stuart,845.75,80885501112.211,80885.501112211,HydroLAKES_parabolic_estimate
557,Stuart,846,80986443949.2056,80986.4439492056,HydroLAKES_parabolic_estimate
557,Stuart,846.25,81087428742.5758,81087.4287425758,HydroLAKES_parabolic_estimate
557,Stuart,846.5,81188455474.8972,81188.4554748972,HydroLAKES_parabolic_estimate
557,Stuart,846.75,81289524128.7671,81289.5241287671,HydroLAKES_parabolic_estimate
557,Stuart,847,81390634686.8043,81390.6346868043,HydroLAKES_parabolic_estimate
557,Stuart,847.25,81491787131.6492,81491.7871316492,HydroLAKES_parabolic_estimate
557,Stuart,847.5,81592981445.9639,81592.9814459639,HydroLAKES_parabolic_estimate
557,Stuart,847.75,81694217612.432,81694.217612432,HydroLAKES_parabolic_estimate
557,Stuart,848,81795495613.7583,81795.4956137584,HydroLAKES_parabolic_estimate
557,Stuart,848.25,81896815432.6695,81896.8154326695,HydroLAKES_parabolic_estimate
557,Stuart,848.5,81998177051.9132,81998.1770519132,HydroLAKES_parabolic_estimate
557,Stuart,848.75,82099580454.2586,82099.5804542586,HydroLAKES_parabolic_estimate
557,Stuart,849,82201025622.4961,82201.0256224961,HydroLAKES_parabolic_estimate
557,Stuart,849.25,82302512539.4375,82302.5125394375,HydroLAKES_parabolic_estimate
557,Stuart,849.5,82404041187.9155,82404.0411879155,HydroLAKES_parabolic_estimate
557,Stuart,849.75,82505611550.7843,82505.6115507843,HydroLAKES_parabolic_estimate
557,Stuart,850,82607223610.919,82607.223610919,HydroLAKES_parabolic_estimate
557,Stuart,850.25,82708877351.2158,82708.8773512158,HydroLAKES_parabolic_estimate
557,Stuart,850.5,82810572754.592,82810.572754592,HydroLAKES_parabolic_estimate
557,Stuart,850.75,82912309803.9858,82912.3098039858,HydroLAKES_parabolic_estimate
557,Stuart,851,83014088482.3565,83014.0884823565,HydroLAKES_parabolic_estimate
557,Stuart,851.25,83115908772.6841,83115.9087726841,HydroLAKES_parabolic_estimate
557,Stuart,851.5,83217770657.9696,83217.7706579696,HydroLAKES_parabolic_estimate
557,Stuart,851.75,83319674121.2347,83319.6741212347,HydroLAKES_parabolic_estimate
557,Stuart,852,83421619145.5221,83421.6191455221,HydroLAKES_parabolic_estimate
557,Stuart,852.25,83523605713.8949,83523.6057138949,HydroLAKES_parabolic_estimate
557,Stuart,852.5,83625633809.4371,83625.6338094371,HydroLAKES_parabolic_estimate
557,Stuart,852.75,83727703415.2535,83727.7034152535,HydroLAKES_parabolic_estimate
557,Stuart,853,83829814514.469,83829.814514469,HydroLAKES_parabolic_estimate
557,Stuart,853.25,83931967090.2296,83931.9670902296,HydroLAKES_parabolic_estimate
557,Stuart,853.5,84034161125.7015,84034.1611257015,HydroLAKES_parabolic_estimate
557,Stuart,853.75,84136396604.0716,84136.3966040716,HydroLAKES_parabolic_estimate
557,Stuart,854,84238673508.547,84238.673508547,HydroLAKES_parabolic_estimate
557,Stuart,854.25,84340991822.3554,84340.9918223554,HydroLAKES_parabolic_estimate
557,Stuart,854.5,84443351528.7446,84443.3515287446,HydroLAKES_parabolic_estimate
557,Stuart,854.75,84545752610.9831,84545.7526109831,HydroLAKES_parabolic_estimate
557,Stuart,855,84648195052.3594,84648.1950523594,HydroLAKES_parabolic_estimate
557,Stuart,855.25,84750678836.1821,84750.6788361821,HydroLAKES_parabolic_estimate
557,Stuart,855.5,84853203945.7805,84853.2039457805,HydroLAKES_parabolic_estimate
557,Stuart,855.75,84955770364.5035,84955.7703645035,HydroLAKES_parabolic_estimate
557,Stuart,856,85058378075.7205,85058.3780757205,HydroLAKES_parabolic_estimate
557,Stuart,856.25,85161027062.8207,85161.0270628207,HydroLAKES_parabolic_estimate
557,Stuart,856.5,85263717309.2134,85263.7173092134,HydroLAKES_parabolic_estimate
557,Stuart,856.75,85366448798.3281,85366.4487983281,HydroLAKES_parabolic_estimate
557,Stuart,857,85469221513.614,85469.221513614,HydroLAKES_parabolic_estimate
557,Stuart,857.25,85572035438.5402,85572.0354385402,HydroLAKES_parabolic_estimate
557,Stuart,857.5,85674890556.5959,85674.8905565959,HydroLAKES_parabolic_estimate
557,Stuart,857.75,85777786851.29,85777.78685129,HydroLAKES_parabolic_estimate
557,Stuart,858,85880724306.1511,85880.7243061511,HydroLAKES_parabolic_estimate
557,Stuart,858.25,85983702904.7276,85983.7029047276,HydroLAKES_parabolic_estimate
557,Stuart,858.5,86086722630.5878,86086.7226305878,HydroLAKES_parabolic_estimate
557,Stuart,858.75,86189783467.3193,86189.7834673193,HydroLAKES_parabolic_estimate
557,Stuart,859,86292885398.5298,86292.8853985298,HydroLAKES_parabolic_estimate
557,Stuart,859.25,86396028407.8461,86396.0284078461,HydroLAKES_parabolic_estimate
557,Stuart,859.5,86499212478.915,86499.212478915,HydroLAKES_parabolic_estimate
557,Stuart,859.75,86602437595.4025,86602.4375954025,HydroLAKES_parabolic_estimate
557,Stuart,860,86705703740.9942,86705.7037409942,HydroLAKES_parabolic_estimate
579,Unnamed_579,830,45168953247.2234,45168.9532472234,HydroLAKES_parabolic_estimate
579,Unnamed_579,830.25,45231842209.7652,45231.8422097652,HydroLAKES_parabolic_estimate
579,Unnamed_579,830.5,45294760332.1198,45294.7603321198,HydroLAKES_parabolic_estimate
579,Unnamed_579,830.75,45357707600.7792,45357.7076007792,HydroLAKES_parabolic_estimate
579,Unnamed_579,831,45420684002.2539,45420.6840022539,HydroLAKES_parabolic_estimate
579,Unnamed_579,831.25,45483689523.0735,45483.6895230735,HydroLAKES_parabolic_estimate
579,Unnamed_579,831.5,45546724149.786,45546.724149786,HydroLAKES_parabolic_estimate
579,Unnamed_579,831.75,45609787868.9581,45609.7878689581,HydroLAKES_parabolic_estimate
579,Unnamed_579,832,45672880667.1752,45672.8806671752,HydroLAKES_parabolic_estimate
579,Unnamed_579,832.25,45736002531.0411,45736.0025310411,HydroLAKES_parabolic_estimate
579,Unnamed_579,832.5,45799153447.1781,45799.1534471781,HydroLAKES_parabolic_estimate
579,Unnamed_579,832.75,45862333402.2269,45862.3334022269,HydroLAKES_parabolic_estimate
579,Unnamed_579,833,45925542382.8469,45925.5423828469,HydroLAKES_parabolic_estimate
579,Unnamed_579,833.25,45988780375.7155,45988.7803757155,HydroLAKES_parabolic_estimate
579,Unnamed_579,833.5,46052047367.5287,46052.0473675287,HydroLAKES_parabolic_estimate
579,Unnamed_579,833.75,46115343345.0006,46115.3433450006,HydroLAKES_parabolic_estimate
579,Unnamed_579,834,46178668294.8637,46178.6682948637,HydroLAKES_parabolic_estimate
579,Unnamed_579,834.25,46242022203.8687,46242.0222038687,HydroLAKES_parabolic_estimate
579,Unnamed_579,834.5,46305405058.7842,46305.4050587842,HydroLAKES_parabolic_estimate
579,Unnamed_579,834.75,46368816846.3972,46368.8168463972,HydroLAKES_parabolic_estimate
579,Unnamed_579,835,46432257553.5127,46432.2575535127,HydroLAKES_parabolic_estimate
579,Unnamed_579,835.25,46495727166.9537,46495.7271669537,HydroLAKES_parabolic_estimate
579,Unnamed_579,835.5,46559225673.5612,46559.2256735612,HydroLAKES_parabolic_estimate
579,Unnamed_579,835.75,46622753060.1943,46622.7530601943,HydroLAKES_parabolic_estimate
579,Unnamed_579,836,46686309313.7297,46686.3093137297,HydroLAKES_parabolic_estimate
579,Unnamed_579,836.25,46749894421.0623,46749.8944210623,HydroLAKES_parabolic_estimate
579,Unnamed_579,836.5,46813508369.1046,46813.5083691046,HydroLAKES_parabolic_estimate
579,Unnamed_579,836.75,46877151144.7871,46877.1511447871,HydroLAKES_parabolic_estimate
579,Unnamed_579,837,46940822735.0579,46940.8227350579,HydroLAKES_parabolic_estimate
579,Unnamed_579,837.25,47004523126.8827,47004.5231268827,HydroLAKES_parabolic_estimate
579,Unnamed_579,837.5,47068252307.2452,47068.2523072452,HydroLAKES_parabolic_estimate
579,Unnamed_579,837.75,47132010263.1466,47132.0102631466,HydroLAKES_parabolic_estimate
579,Unnamed_579,838,47195796981.6054,47195.7969816054,HydroLAKES_parabolic_estimate
579,Unnamed_579,838.25,47259612449.6581,47259.6124496581,HydroLAKES_parabolic_estimate
579,Unnamed_579,838.5,47323456654.3584,47323.4566543584,HydroLAKES_parabolic_estimate
579,Unnamed_579,838.75,47387329582.7777,47387.3295827777,HydroLAKES_parabolic_estimate
579,Unnamed_579,839,47451231222.0047,47451.2312220047,HydroLAKES_parabolic_estimate
579,Unnamed_579,839.25,47515161559.1454,47515.1615591454,HydroLAKES_parabolic_estimate
579,Unnamed_579,839.5,47579120581.3234,47579.1205813234,HydroLAKES_parabolic_estimate
579,Unnamed_579,839.75,47643108275.6793,47643.1082756793,HydroLAKES_parabolic_estimate
579,Unnamed_579,840,47707124629.3714,47707.1246293714,HydroLAKES_parabolic_estimate
