LakeID,LakeName,latitude,longitude
1,Caspian Sea,41.72860000000,50.73520000000
8,Great Bear,66.00270000000,-120.93100000000
10,Great Slave,61.29450000000,-115.48200000000
11,Winnipeg,52.51110000000,-97.79020000000
2,Superior,47.60050000000,-86.31900000000
5,Michigan-Huron,43.24290000000,-87.23190000000
12,Erie,42.14760000000,-81.24810000000
15,Ladoga,60.83970000000,31.46870000000
16,Balkhash,46.54340000000,74.86070000000
82,Large Aral Sea,44.93730000000,59.78540000000
14,Kara-Bogaz-Gol,41.33280000000,53.64470000000
106,Chad,13.04190000000,14.05460000000
700,Selawik,66.49510000000,-160.72900000000
33,Netilling,66.49570000000,-70.49490000000
181,Takiyuak,66.16240000000,-113.19400000000
277,Contwoyto,65.79530000000,-111.12800000000
61,Amadjuak,64.90710000000,-71.21310000000
176,Aberdeen,64.49080000000,-98.87460000000
115,Baker,64.15480000000,-95.24820000000
49,Dubawnt,63.11640000000,-101.40400000000
112,Martre,63.31520000000,-117.94500000000
128,Yathkyed,62.67670000000,-97.86630000000
93,Nueltin,59.99950000000,-99.21940000000
127,Kasba,60.30750000000,-102.19500000000
72,Iliamna,59.55650000000,-155.06700000000
87,Wollaston,58.23730000000,-103.28600000000
21,Athabasca,59.18670000000,-109.90100000000
143,Claire,58.58700000000,-112.08200000000
152,Becharof,57.91840000000,-156.39500000000
151,Cree,57.35720000000,-106.64800000000
138,La Ronge,54.99810000000,-105.07800000000
159,Lesser Slave,55.45110000000,-115.11100000000
173,Gods,54.68550000000,-94.22790000000
303,Moose,53.93960000000,-100.10800000000
30,Winnipegosis,52.77490000000,-100.73700000000
34,Manitoba,50.48790000000,-98.35360000000
91,Mistassini,51.20650000000,-73.12810000000
56,Woods,49.08920000000,-94.96370000000
155,Champlain,44.76820000000,-73.18060000000
71,Great Salt,41.19120000000,-112.53500000000
182,Chapala,20.23730000000,-103.01100000000
168,Managua,12.38050000000,-86.35510000000
19,Nicaragua,11.51340000000,-85.35640000000
35,Taymyr,74.53450000000,101.95000000000
9900036,Inari,68.75660000000,27.84440000000
137,Vygozero,63.57510000000,34.77780000000
216,Iso-Kallan,62.36800000000,28.04010000000
154,Paijanne,61.73440000000,25.59720000000
147,Beloye,60.17990000000,37.63450000000
203,Malaren,59.28460000000,17.56890000000
54,Peipsi,58.54290000000,27.54660000000
103,Vattern,58.33240000000,14.53870000000
148,Chany,54.82450000000,77.05620000000
66,Khovsgol,51.08090000000,100.47700000000
141,Tengiz,50.39100000000,68.87580000000
52,Uvs,50.31540000000,92.74960000000
95,Hulun,48.94570000000,117.39800000000
129,Khyargas,49.19710000000,93.30270000000
194,Khar Us,48.02780000000,92.23530000000
62,Alakol,45.99890000000,81.74480000000
13827,Syvash,45.74920000000,34.90540000000
37,Khanka,44.99280000000,132.39600000000
23,Issyk Kul,42.44100000000,77.26620000000
47,Sarygamysh,41.96980000000,57.23630000000
139,Sevan,40.35650000000,45.32870000000
229,Tuz,38.73030000000,33.41720000000
50,Van,38.64360000000,42.95320000000
188,Urmia,37.66510000000,45.45310000000
38,Qinghai,36.85590000000,99.90230000000
80,Siling,31.78740000000,88.98550000000
83,Tai,31.20060000000,120.19200000000
94,Nam,30.71260000000,90.64640000000
1837,Goud-e-Zareh,29.82250000000,62.22670000000
98,Poyang,29.11130000000,116.27600000000
76,Tonle Sap,12.90950000000,104.04900000000
60,Tana,12.03720000000,37.15300000000
