"date","year","month","swei_basin_avg","swe_raw_mm","swe_smoothed_mm"
1950-01-01,1950,1,NA,146.559288627223,NA
1950-02-01,1950,2,-0.869989425006719,191.248320099106,197.40697196253
1950-03-01,1950,3,-0.44302796205712,254.413307161259,244.455926699148
1950-04-01,1950,4,0.0334951179835448,287.706152837079,252.286227823001
1950-05-01,1950,5,0.359824007443583,214.739223470664,199.576422484995
1950-06-01,1950,6,0.626794578661881,96.2838911472407,112.536165449354
1950-07-01,1950,7,0.653669700861875,26.5853817301585,42.2425728194795
1950-08-01,1950,8,-0.397503932733633,3.85844558103939,10.2781727598823
1950-09-01,1950,9,0.558715826842413,0.390690968448954,6.63320880784725
1950-10-01,1950,10,0.512940761565641,15.6504898740534,27.9512421329916
1950-11-01,1950,11,0.571752760433489,67.8125455564724,77.1048222368921
1950-12-01,1950,12,0.50532672392746,147.85143128015,142.55496433803
1951-01-01,1951,1,0.367702426004683,212.000916177468,206.626566629561
1951-02-01,1951,2,0.203608371297688,260.027352431065,256.685348182493
1951-03-01,1951,3,0.0798544547869772,298.027775938947,281.726727210788
1951-04-01,1951,4,-0.0741307945223521,287.125053262352,249.36082189842
1951-05-01,1951,5,-0.142868562540703,162.92963649396,174.003445315381
1951-06-01,1951,6,-0.18855613944182,71.9556461898307,83.3643289436971
1951-07-01,1951,7,-0.167780168548806,15.2077041473006,29.2078096267076
1951-08-01,1951,8,0.305815848105724,0.46007854299139,5.58019421353575
1951-09-01,1951,9,1.09824616339592,1.07279995031524,4.4110635966187
1951-10-01,1951,10,0.139150955608973,11.7003122965495,17.8443144636545
1951-11-01,1951,11,-0.275083113566354,40.7598311440986,48.8879344019177
1951-12-01,1951,12,-0.76343247390546,94.2036597651049,92.6350356144216
1952-01-01,1952,1,-0.650954585105835,142.941615934061,154.086049238442
1952-02-01,1952,2,-0.485896479851944,225.112872016161,208.425733778212
1952-03-01,1952,3,-0.144024633461484,257.222713384413,258.271497393411
1952-04-01,1952,4,0.041044857884799,292.47890677966,250.924081332303
1952-05-01,1952,5,0.256003757226108,203.070623832836,196.842750909434
1952-06-01,1952,6,0.398746695518736,94.9787221158059,111.006667042336
1952-07-01,1952,7,0.400887467101792,34.9706551783664,44.5055479593046
1952-08-01,1952,8,0.180395373063024,3.56726658374146,12.9530858077302
1952-09-01,1952,9,-2.18532361510507,0.321335661082638,1.35919822686497
1952-10-01,1952,10,-0.642695162690316,0.188992435770824,11.9521265340628
1952-11-01,1952,11,-0.907417974990456,35.346051505335,42.6539466494606
1952-12-01,1952,12,-0.997719696677455,92.4267960072759,92.6468565549667
1953-01-01,1953,1,-0.923120321941415,150.167722152289,155.36960364384
1953-02-01,1953,2,-0.803758776721978,223.514292771954,209.235685311862
1953-03-01,1953,3,-0.572040703388208,254.025041011342,248.065969997779
1953-04-01,1953,4,-0.503070356576644,266.658576210041,228.091836672777
1953-05-01,1953,5,-0.364624742550001,163.591892796949,164.520148147417
1953-06-01,1953,6,-0.207004263207024,63.3099754352617,81.126001942825
1953-07-01,1953,7,-0.307725442412204,16.4761375962642,26.8083785908762
1953-08-01,1953,8,0.445535806451544,0.639022741102634,6.12710731270518
1953-09-01,1953,9,-0.0993332838228394,1.2661616007487,5.26055198165906
1953-10-01,1953,10,-0.337549744052858,13.8764716031259,25.3009230471096
1953-11-01,1953,11,0.232943670819845,60.7601359374541,79.0838729170032
1953-12-01,1953,12,0.252091158543097,162.61501121043,152.258719218803
1954-01-01,1954,1,0.247629406815016,233.401010508525,232.028510636256
