"Date","SPEI_01","SPEI_02","SPEI_03","SPEI_04","SPEI_05","SPEI_06","SPEI_07","SPEI_08","SPEI_09","SPEI_10","SPEI_11","SPEI_12","SPEI_24"
1950-01-01,-1.88415888466775,,,,,,,,,,,,
1950-02-01,1.41483839696595,-0.500177776075911,,,,,,,,,,,
1950-03-01,-0.668789720646927,0.748644523802648,-0.667301686646488,,,,,,,,,,
1950-04-01,1.10430652339432,0.212944548641673,1.15590447110153,-0.31142658872997,,,,,,,,,
1950-05-01,-0.422568045340056,0.313255564410996,-0.142233382200077,0.622950655455441,-0.472134461686306,,,,,,,,
1950-06-01,-1.64092175606441,-1.61612253256414,-0.99644147388966,-1.01924973722777,-0.29475589155803,-1.04646026087593,,,,,,,
1950-07-01,-0.543842522152089,-1.5287805048152,-1.50094326437138,-1.13618349270435,-1.13032834549269,-0.574041702809754,-1.15215023635458,,,,,,
1950-08-01,0.14609585722703,-0.318838015038772,-0.975313714855827,-1.08389010783348,-0.798248621886277,-0.896199530050598,-0.400070701696925,-1.00585062973826,,,,,
1950-09-01,-1.06894185915514,-0.696323296629482,-0.888252565798353,-1.45311736173322,-1.47899690642251,-1.20495787175693,-1.24257048116219,-0.847356810140881,-1.28693581398822,,,,
1950-10-01,-0.845961559023834,-1.30421925462381,-1.00547378415507,-1.21088702532082,-1.62070604145633,-1.63492799890385,-1.4632386416349,-1.5120733924147,-1.11282519115519,-1.50170222728055,,,
1950-11-01,0.60640064156971,-0.131983427561508,-0.746475706035319,-0.581333987315982,-0.711254156914597,-1.09636030980573,-1.19690770367496,-0.998820427236894,-1.14257660334613,-0.774828131903551,-1.16293218645828,,
1950-12-01,0.15654081945242,0.480257855646111,-0.0732011668671408,-0.58282042949116,-0.503421239222854,-0.610752489307543,-1.03730670508504,-1.13788062023561,-0.906446178918764,-1.00291707538826,-0.696564613501203,-1.13825179457252,
1951-01-01,-1.31592645500429,-0.855267648163377,-0.289087743771378,-0.672030263091406,-0.994094101823181,-0.880658472409508,-0.970439052527078,-1.28597249645495,-1.42353417562363,-1.30072251699668,-1.37039223079969,-1.07769271059762,
1951-02-01,0.0841754209184098,-0.980276119509281,-0.738387744563261,-0.262458455329483,-0.538131355188595,-0.89140706837083,-0.789597067464126,-0.949501697049163,-1.20304787709104,-1.32364968956851,-1.20478617516804,-1.27585095266685,
1951-03-01,0.0597409550791477,0.060278086412542,-0.809507478731442,-0.652147451075696,-0.247183552214797,-0.529491622178783,-0.889667672271602,-0.735743150448636,-0.899638443164222,-1.14119856138031,-1.27647318393286,-1.15743807451834,
1951-04-01,-2.79653502318619,-1.2181539803109,-0.933029484194636,-1.36828865524678,-1.17546505436595,-0.670682722379839,-0.880355397479387,-1.15627768308742,-1.04695259505613,-1.06013316863556,-1.35501733611919,-1.42138681042002,
1951-05-01,1.43541910908305,0.0271370470137014,-0.0157915003601808,-0.0398261910345227,-0.712368658281552,-0.622390236617864,-0.233500788194415,-0.52081691520402,-0.832011763031732,-0.757093718267716,-0.804081535162106,-1.16628208675433,
1951-06-01,-1.70991474077781,-0.451955997547984,-1.25688196029553,-0.963597455830345,-0.88128957600188,-1.2942146738801,-1.13848054832493,-0.724477032707157,-0.971115432121265,-1.1615886772814,-1.11137921349223,-1.21111465897836,
1951-07-01,0.58950576175387,-0.663635371836325,0.00691165720560632,-0.666327131992257,-0.525576625895333,-0.540642280122935,-0.947610345277091,-0.847893983792234,-0.551487362008239,-0.699445301642111,-0.995278865398184,-0.866706530245622,
1951-08-01,-0.661251255884524,-0.102831768708593,-0.836909930328606,-0.324159545529654,-0.797347471452724,-0.724889991166114,-0.690113863215622,-1.08606012783,-0.952915859614956,-0.699716967521431,-0.797352314364623,-1.0874776702295,
1951-09-01,-0.585319896032025,-0.851070328976915,-0.398031136518251,-1.0519144031717,-0.625193087344626,-0.99933330662252,-0.891361060721582,-0.915106908770512,-1.18201886351936,-1.13634111472436,-0.837991298307336,-0.990198315237413,
1951-10-01,0.13762456471031,-0.347444839693877,-0.639013793231824,-0.346917747007695,-0.876414634986937,-0.53694126677175,-0.949748702871173,-0.856950238526461,-0.807193899170612,-1.11693926095439,-1.01185844824311,-0.73513155657519,
1951-11-01,-0.927495145974998,-0.622639185685332,-0.857615444699205,-0.991366451309697,-0.676451637758485,-1.08691671263985,-0.768186891766363,-1.07090553515615,-1.0884723052734,-1.07458705374114,-1.29851159912408,-1.15171602388349,
1951-12-01,-0.900684088677474,-1.2198491371075,-0.981237088498112,-1.0661429177921,-1.19781831946464,-0.924721753816187,-1.32694857213063,-1.07124206294132,-1.31343897731787,-1.2689671496088,-1.31885947222483,-1.54628160022906,-1.59834079286159
1952-01-01,0.296533928646384,-0.504464773423139,-0.921429098713929,-0.778838085737362,-0.905550537017157,-1.02264383798844,-0.796087919472491,-1.14247277889123,-0.955434994334393,-1.23408883663952,-1.20604006450854,-1.19418685602486,-1.34219301310318
1952-02-01,0.216586894255807,0.273938185275631,-0.414078360989185,-0.759976262768356,-0.591948035773715,-0.77584629165972,-0.89631829065515,-0.753722454810868,-1.04452451350109,-0.846846411132523,-1.11547090401974,-1.09187201983444,-1.47741267220494
1952-03-01,-0.0107815614092777,0.12254411773943,0.219728365922488,-0.363761252273328,-0.768144376915139,-0.600634614442443,-0.782643377903592,-0.851291100393177,-0.717379588961288,-0.994064810402727,-0.824173462833684,-1.0805567214199,-1.4186518096762
1952-04-01,1.2777204904188,0.765959243481372,0.709418997882587,0.557688229566031,-0.0246674800650316,-0.454775186357587,-0.348828559780095,-0.546696427137443,-0.717295024682583,-0.450898877138272,-0.812661818451347,-0.596163662803276,-1.34313339231877
1952-05-01,-2.17797644894754,-0.837726659884284,-0.634940571119767,-0.482626408862262,-0.235377337604681,-0.694614820321395,-0.905050928566033,-0.828229784292995,-0.945536494267911,-1.04532163054264,-0.821459322051953,-1.19492566995718,-1.49051345334788
1952-06-01,0.585540122669423,-0.830637948545749,-0.172682812698692,-0.179747454135947,-0.0987999974342792,0.0192957506345693,-0.429575669224111,-0.681319881328274,-0.623899051898729,-0.698635356373898,-0.900133242990674,-0.730216068911697,-1.27778513903568
1952-07-01,-1.59293252478783,-0.550101933554728,-1.45965149662078,-1.02757247005084,-0.841860358804616,-0.798138761387337,-0.524632633145819,-0.854202306119836,-1.10388878376083,-0.919902841510941,-1.05823593795156,-1.10022555017114,-1.37655079389715
1952-08-01,-0.726201878814916,-1.42477283142798,-0.789578392059125,-1.44414535657485,-1.09126754578615,-1.0052031614196,-0.933711937154639,-0.711799079499327,-0.977128229128703,-1.22179991186781,-1.02921714465051,-1.15909144689079,-1.46596577485081
1952-09-01,-0.27489652719078,-0.690505636807897,-1.35401603458161,-0.854752684279441,-1.45020453122802,-1.13071935690758,-1.03115213899006,-1.01994515367644,-0.719460215908729,-1.06903999197397,-1.25683037643458,-1.12783857547516,-1.38096063573142
1952-10-01,-1.65670945632321,-1.40394172278206,-1.46468053022215,-1.85424548521929,-1.55353327627242,-1.88987252431011,-1.70431542042337,-1.64838745266063,-1.61421369097108,-1.31690139073909,-1.47549410661749,-1.6226081484472,-1.50881031357989
1952-11-01,-0.580131045624659,-1.50779950916905,-1.40767932342586,-1.47119830288421,-1.76362346008035,-1.49288344647899,-1.87741182233032,-1.68449589569035,-1.62042887651756,-1.62273179890254,-1.377626077952,-1.50637882844726,-1.68495500241533
1952-12-01,0.452248178577841,-0.116333151414837,-1.04730694151697,-1.0154786895499,-1.17166492760732,-1.43481957652133,-1.26631356039433,-1.63144949616797,-1.46097327157108,-1.41672950627131,-1.43762207081337,-1.24044472654979,-1.65219694020304
1953-01-01,0.172381704894372,0.389396128293162,-0.050270195694556,-0.901647577832386,-0.90298514547326,-1.03699401761041,-1.34712742178932,-1.11609120068263,-1.52885613410261,-1.38594359474329,-1.36698325018535,-1.34496476769611,-1.48646853531434
1953-02-01,-0.295425369317694,-0.0948644930048881,0.10874789738542,-0.179446964721402,-0.833582063556261,-0.892251545206407,-1.01272950639288,-1.35727644673088,-1.1165601540733,-1.48599449285069,-1.35121050227286,-1.33536567307803,-1.50913320015931
1953-03-01,0.251943251851258,-0.113617309572375,-0.00407252597150071,0.197115136550767,-0.111180162927574,-0.795441215838176,-0.855765229924672,-0.926839776600202,-1.28251642872672,-1.02807339947415,-1.41215950799906,-1.27530481869085,-1.4845657934921
1953-04-01,0.230444685580689,0.251739264131952,-0.0729135722105302,0.0203884239746118,0.247698144102588,-0.0767395675384523,-0.752884363264565,-0.808628224981742,-0.951176594954516,-1.16642631612095,-0.987514630301083,-1.32165130966503,-1.27834338084759
1953-05-01,-0.59333674956747,-0.375936074695435,-0.208112583081665,-0.385966211432596,-0.233044933297145,-0.0348203353732143,-0.251762339804053,-0.876787261584352,-0.901762366118453,-1.02249487980904,-1.25520251405119,-1.144059792014,-1.47802653185341
1953-06-01,0.839542518293744,0.336330770850206,0.345885703830895,0.299361077453627,0.125470927045665,0.127967270276364,0.267693173128068,0.0450032166762826,-0.592731559904859,-0.583699996108299,-0.812819507675151,-1.11327265815869,-1.21849497926984
1953-07-01,1.08840217393652,1.16069312811871,0.895316620760579,0.89696866194061,0.765284685061314,0.657319138924395,0.528572229981861,0.631133750760411,0.397148594314793,-0.192545817501516,-0.279349346552076,-0.442380753642331,-1.13265857861821
1953-08-01,-0.174866934558157,0.565627106622018,0.781011355785691,0.548760954525232,0.533361579304285,0.534525461062869,0.450766358415696,0.419464374875624,0.511157907830134,0.314377246961736,-0.200448632862453,-0.307947813574149,-1.05611797453405
1953-09-01,-0.155965309866891,-0.280213944207867,0.419884296053232,0.685685027002592,0.483716994067625,0.438595897358154,0.439623419460487,0.415525846279013,0.352839590571551,0.506341116944901,0.273291366838115,-0.252931008615947,-0.99842984277464
1953-10-01,0.805494891506843,0.475242539058165,0.186752023674837,0.813393017357542,0.942848417173695,0.807638777301447,0.827093317321015,0.824756061539542,0.714869339544681,0.648941652898748,0.707365696545346,0.48272548128871,-0.837975303803033
1953-11-01,0.714510570113753,1.04979685814887,0.829802149820895,0.578810604172063,0.94216512563372,1.07275254115394,0.926034797315347,0.905063818722475,0.99016504797579,0.898431588029372,0.77219059950968,0.812382957713401,-0.536322853393898
1953-12-01,0.889468645116768,1.05072742005777,1.31338079344274,1.16652978177832,0.892764877691912,1.22540353008842,1.36626720391197,1.23951372272083,1.20035752710931,1.21469213138089,1.14727449749358,1.06163897647728,-0.214585974309894
1954-01-01,-0.643602744191108,0.157770887150643,0.524092048585432,0.830016781302402,0.632147918999501,0.452381841650746,0.831193259154157,0.960716896875453,0.919707169648729,0.941164618369801,0.961636520168456,0.869807575695722,-0.430856376708797
1954-02-01,2.8927428949797,1.29690115440222,1.93154852205184,1.66084066606886,1.73461405450342,1.75654809234062,1.45037135586534,1.63594485016522,1.72520037059629,1.58205476560481,1.60151645797658,1.60267430195008,0.0353090638432313
1954-03-01,-1.3429813543176,1.74367628572736,0.624351008598025,1.06441714694588,1.21972482669318,1.32537915225359,1.25781409051065,1.01094963853245,1.31282522456344,1.37742154347601,1.30828308943166,1.32433733431285,-0.111089205089728
1954-04-01,1.20339264849545,-0.208865341098309,1.94904456393191,0.911598913682978,1.37898140774799,1.38435951253486,1.48187313149373,1.41339631562716,1.23408770579609,1.4088312197986,1.56044366897974,1.44509405328543,-0.112291854981924
1954-05-01,-0.183843755335507,0.558535278236201,-0.297529695237209,1.67733103691713,0.738426019782547,1.20015294473817,1.22548117080405,1.40102131646647,1.30121014146391,1.1290076378014,1.3500595175958,1.49766139094278,0.133824184678641
1954-06-01,0.414072360523423,0.221408205494546,0.671819523903502,-0.0191774261326455,1.44391904936793,0.774570145323328,1.15378946153259,1.22079928443904,1.3859286515718,1.25848704989326,1.16835659876361,1.38648300670915,0.120398535555038
1954-07-01,-0.0214032483667132,0.224325359208975,0.0657197884608054,0.450686179408781,-0.074599175630827,1.1968882740191,0.647455771511752,0.947807507219594,1.11929873235447,1.21100946921747,1.16018428326331,0.990478369437242,0.36956525645438
1954-08-01,1.63889166877775,0.997701312254292,0.893120462129347,0.792384378612519,1.03326192281915,0.589685228767959,1.63041220121334,1.1567466595071,1.37530954407349,1.45156688251752,1.49733372617768,1.45524321927456,0.8389158068906
1954-09-01,0.720384280685507,1.91460490878715,1.28785876615399,1.1603213696512,1.12340583173063,1.36008516454798,0.833181291695112,1.75931735729578,1.28107849703714,1.53403819252872,1.57402673528157,1.62020934997344,1.02293469281209
1954-10-01,0.501515742837785,0.886252292433314,1.83803373343089,1.43691379756945,1.29155384732774,1.27723829721907,1.52754492735959,1.0767184181683,1.81694520968435,1.39407119983544,1.55135361937228,1.58085681655884,1.44962189304417
1954-11-01,0.959476052141958,1.03853839856793,1.32431027419515,1.82948375817619,1.6700300283252,1.51213446725237,1.46230291714313,1.73022016482506,1.30194216610674,1.96156017514648,1.57467902464672,1.73714672084056,2.05396553772643
1954-12-01,0.979101222450498,1.27685788757941,1.35833321160873,1.87355044595366,2.11004313595508,2.00895228944047,1.73229282776781,1.69578579819148,2.10665419608481,1.58540165865761,2.11152162217953,1.75356342362781,2.18446485940668
1955-01-01,-0.356962901013137,0.42399480736241,0.868813468477213,1.00060243093425,1.26485766372364,2.04459067729204,1.56324100363749,1.50105151617881,1.47366359550935,1.66935829864261,1.38142973437808,1.95030352500378,2.2933203814826
1955-02-01,0.2673022219777,-0.202321009549013,0.388332345934335,0.828344026790996,0.881967010873279,1.14706433878498,1.72915971528064,1.45728059466359,1.4024272712707,1.38574402772573,1.55578725912439,1.30614452912313,2.10667883517851
