"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1950,,-0.500177776075179,0.748644523802648,0.212944548641673,0.313255564410996,-1.61612253256414,-1.5287805048152,-0.318838015038772,-0.696323296629482,-1.30421925462381,-0.131983427561508,0.480257855646111
1951,-0.855267648161973,-0.980276119507125,0.060278086412542,-1.2181539803109,0.0271370470137014,-0.451955997547984,-0.663635371836325,-0.102831768708593,-0.851070328976915,-0.347444839693877,-0.622639185685332,-1.2198491371075
1952,-0.504464773422125,0.273938185275028,0.12254411773943,0.765959243481372,-0.837726659884284,-0.830637948545749,-0.550101933554728,-1.42477283142798,-0.690505636807897,-1.40394172278206,-1.50779950916905,-0.116333151414837
1953,0.389396128293383,-0.0948644930050097,-0.113617309572375,0.251739264131952,-0.375936074695435,0.336330770850206,1.16069312811871,0.565627106622018,-0.280213944207867,0.475242539058165,1.04979685814887,1.05072742005777
1954,0.15777088715104,1.29690115440198,1.74367628572736,-0.208865341098309,0.558535278236201,0.221408205494546,0.224325359208975,0.997701312254292,1.91460490878715,0.886252292433314,1.03853839856793,1.27685788757941
1955,0.423994807362607,-0.20232100954894,0.47617110465607,0.581236130822888,0.547110285632557,-0.174601391286191,0.223325732145407,0.318628139345402,-0.872664597698094,-0.0258057203420506,0.57825963473896,-0.565839861545574
1956,-1.01202925206915,-0.563733220667328,0.0802515901930355,-0.192578079786684,-2.4312240738769,-1.31567569861936,-0.0506010154905367,-0.70887749452295,-1.073463462192,-0.659918567358044,-0.11335089437805,1.76090599254772
1957,1.03696823170186,-1.44302622659895,-0.765885995283028,-0.560609659383654,-0.272316649759147,0.219110921155115,0.958381272618833,2.18090240559242,0.729975351917121,-1.20151736863243,-0.369244643348746,1.12769960756154
1958,1.47849860715122,0.619309553664771,0.120509199301659,-0.481474128975849,-1.71980885851549,-1.60460148216644,-1.65679089782701,-0.862927616379353,1.06193896412246,0.543055566533044,-1.12732915438162,-0.0781139265183359
1959,1.16010976742205,0.142675288987618,0.215120700133305,0.597188627059457,0.139590512986906,1.49123728111975,0.712240592378412,0.383260608033941,1.73654243215296,0.845774232998131,0.416709189011158,0.697680580243918
1960,-0.137976379806723,-0.89696788836564,0.374235235583219,0.47750109402035,1.03159654169071,1.04677006177156,-0.504887350920812,-0.169873082369596,-0.287616193806569,0.142894651420309,0.238122939922914,-1.0087920771619
