"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1950,,,,,,,,,,,-1.20673962989119,-0.641242555696534
1951,-1.4579172747185,-1.21257055102378,-1.29966090271415,-1.54196319548109,-0.780193862752022,-1.08381548111612,-0.959208357571487,-0.797182437170797,-0.814010908906413,-1.01800799172679,-1.38944405368713,-1.3939763941223
1952,-1.24549289834723,-1.11636368010251,-0.725507683412233,-0.776782050741669,-0.765936098399566,-0.77588665892421,-0.984318825088724,-0.96167566798065,-1.11273097852674,-1.40539437808509,-1.28296115918694,-1.32461350082957
1953,-1.24992876324765,-1.23854807507427,-1.32956421415582,-0.905968868831569,-1.25882483633459,-0.719550901194308,-0.289109958418836,-0.363250923887624,0.146917057403763,0.564833544480819,0.680487654816282,1.00330523806484
1954,0.857705998860334,1.43639160549939,1.15052467569733,1.40497978906661,1.22349326036728,1.04042291807824,1.08041702922531,1.41438774386912,1.41552462885508,1.37002104965878,1.38434519942095,2.03409871010676
1955,1.09964382372123,1.30197323679232,1.17012907674676,1.24887351492428,1.32931201086042,1.22877547600204,1.01412192794937,0.848454968796404,0.441722754271149,0.473283392126115,0.104302226737373,-0.0271207272489529
1956,-0.306309732741906,-0.430595446415928,-0.390164501432556,-0.612157993888825,-0.868505804926866,-0.980428452511348,-1.07467520605807,-0.934483323972534,-1.59154360257449,-1.59224843244065,-1.31829765905547,-0.120758820668915
1957,-0.538024375697547,-0.680784537201787,-0.616696206731772,-0.254350231185282,-0.398313343249341,-0.162253458662343,0.312056355335384,0.906793756910796,0.67230959181253,0.480934978654717,-0.362057280178815,0.60736174739961
1958,0.87347913098239,1.02637363335894,0.969325028442537,0.942617432267615,0.567014491532221,0.112982176426958,-0.726424423968948,-0.278754992482896,0.287937390688161,0.105469683996796,-0.800103766262005,-0.645300508496961
1959,-0.577616986136236,-0.55122786561543,-0.280142009236114,0.0655023419188641,0.244611639659914,0.998437448671012,0.68949670286124,0.720986277981635,1.02822423253823,1.46885046927742,1.25439803618047,1.45734682502725
1960,1.20276479034152,0.926095224218585,1.00217626160614,0.901732900477667,0.787326661466665,0.995891028481165,0.400641278385742,0.445399641235396,0.135944636548657,0.404625400511573,-0.0865707927597311,-0.0501974366378499
1961,0.125457395351109,0.41978941044866,0.278082338145279,-0.0371782280186988,-0.027522268068332,-0.0688571387770639,-0.591266983447496,-0.641935763056871,-0.909797183086557,-0.307274036581968,-0.0969866770971897,-0.390212227133755
1962,-0.238551252250722,-0.237708275289841,-0.455016897645553,-0.408809602770247,-0.204799878426153,0.190291754379853,0.281692918610316,0.484477785258101,0.0981491334815498,0.316002229231668,0.605032767880577,0.24896465874613
1963,0.133796305844051,0.640370177330737,0.469412013291319,0.487961147571426,0.157438380408823,0.20000734612752,0.205842930480303,0.202083041288868,0.25914039363848,0.207016479022714,0.231400161643176,0.969879275563479
1964,0.660329175426429,0.920492087721,1.06880041031937,1.34985988359593,1.44803585521279,1.23055337378109,1.61315279883124,1.55514138542428,1.86925774077012,1.89843615266169,1.4376308396896,1.25116997674499
1965,1.10909727672454,1.23136823569742,0.704720365950297,0.863283627686286,0.758743729633761,0.0657698139365807,0.0897654510050217,-0.384355012602506,-0.732615911178293,0.0171586766728182,-0.0426052848902672,-0.159234953932062
