"Date","SPI_01","SPI_02","SPI_03","SPI_04","SPI_05","SPI_06","SPI_07","SPI_08","SPI_09","SPI_10","SPI_11","SPI_12","SPI_24"
1950-01-01,-2.2668755152519,,,,,,,,,,,,
1950-02-01,1.34496563391176,-0.504939327793741,,,,,,,,,,,
1950-03-01,-0.556269797964136,0.732956474236436,-0.695221150798424,,,,,,,,,,
1950-04-01,1.026419974189,0.202403776276029,1.02022490956619,-0.328411614243231,,,,,,,,,
1950-05-01,-0.131805362563069,0.456753173880349,0.0217176510922777,0.757889292876754,-0.39864699697341,,,,,,,,
1950-06-01,-2.32851056713259,-1.77760373400581,-0.977325991882797,-1.05941742455665,-0.2694984809357,-1.14192500167516,,,,,,,
1950-07-01,-0.333317760166842,-1.64433248785486,-1.55178313276891,-1.05214954810587,-1.12803791887961,-0.429927504241673,-1.190830642417,,,,,,
1950-08-01,0.234877151894745,-0.133660849740936,-1.079654123495,-1.11499123746378,-0.785384846688918,-0.902668616892659,-0.33919431849795,-1.04760957486888,,,,,
1950-09-01,-1.12353027208145,-0.743166318326036,-0.894206034562635,-1.70004890465897,-1.68911497973282,-1.32666198327141,-1.37595142678951,-0.797218634712819,-1.39180534542769,,,,
1950-10-01,-0.657772602417165,-1.38971899164185,-1.07528441977189,-1.19921166794538,-1.92497572621235,-1.95135177784583,-1.63819342213804,-1.65029143005834,-1.08827457364812,-1.57268941248296,,,
1950-11-01,0.673808735637386,0.033541825838687,-0.584709089999798,-0.447701555233985,-0.591573814383859,-1.19589800168374,-1.25419449591477,-1.02775031982801,-1.11218815566747,-0.690896475660133,-1.20673962989119,,
1950-12-01,0.155004445896708,0.49476441149256,0.0478793055315714,-0.467066295550944,-0.362213682435052,-0.496545442425163,-1.03494115352545,-1.12480165530139,-0.943532545661822,-1.03923491861541,-0.641242555696534,-1.14439606593516,
1951-01-01,-1.33779869415736,-0.887706834187086,-0.2454828530026,-0.544110150691258,-1.00801214532248,-0.874703284143509,-0.951613042858017,-1.45332128773574,-1.53364574309275,-1.3551892569696,-1.4579172747185,-1.05298230128706,
1951-02-01,0.107708043461848,-0.988412920849338,-0.742236143876136,-0.211651545638514,-0.468747047046416,-0.886109001856894,-0.770651597717165,-0.857079506302457,-1.30908491360501,-1.37132101204708,-1.21257055102378,-1.3106387242095,
1951-03-01,0.119015347830909,0.070537581656621,-0.807490311434746,-0.669039073721143,-0.19843433988833,-0.444366808656306,-0.829209107415111,-0.718953297414495,-0.807974754581092,-1.24411535324247,-1.29966090271415,-1.14574379596374,
1951-04-01,-2.8636937673359,-1.32731837178563,-0.942680637004982,-1.48287157720147,-1.23084898820102,-0.638101699297354,-0.825524131977047,-1.18140400011706,-1.04592490825102,-1.11857320605577,-1.54196319548109,-1.59781014953774,
1951-05-01,1.38869284574651,-0.0149055943820322,0.00331123087589146,-0.00926191837266363,-0.731277594122704,-0.628215458679384,-0.215104282984177,-0.448548354068607,-0.784815136407698,-0.687149729713477,-0.780193862752022,-1.19784205674892,
1951-06-01,-1.83676948980475,-0.233883288094481,-1.16802294948246,-0.91159523794738,-0.844189053051215,-1.33754989551559,-1.19349605941975,-0.706980787566049,-0.887179274168,-1.19661646140565,-1.08381548111612,-1.16248710054624,
1951-07-01,0.639363292012044,-0.595626027276185,0.163106183669482,-0.577168645637099,-0.480521638546437,-0.453429675534136,-0.955066725927693,-0.863352768607786,-0.482969394864143,-0.6803114734754,-0.959208357571487,-0.876929443860794,
1951-08-01,-0.547344257136759,0.0435585781965369,-0.77440107732097,-0.155570921766452,-0.771720948194703,-0.681214575847366,-0.664008002818434,-1.10562873900685,-0.984147855753898,-0.627092809424186,-0.797182437170797,-1.05747295957364,
1951-09-01,-0.534965122981758,-0.912824189479386,-0.401965585330052,-1.10908141426189,-0.488211153437451,-1.0594244561557,-0.937283862788487,-0.900962251619966,-1.26304552849088,-1.17561712789712,-0.814010908906413,-0.961024489332574,
1951-10-01,0.237859564272532,-0.273888656168214,-0.58166400565319,-0.25351743459903,-0.903628708678967,-0.384154027188436,-0.917659853408732,-0.817193747266397,-0.792802819291359,-1.11451845183001,-1.01800799172679,-0.707718824364856,
1951-11-01,-0.945342718236192,-0.511411084781289,-0.822785760757105,-0.97199824352653,-0.671243401547166,-1.17455041700876,-0.738207732106757,-1.18608747745796,-1.10180194252311,-1.10076365554887,-1.38944405368713,-1.2559882092958,
1951-12-01,-0.866422110661673,-1.2864288548604,-0.905849928773855,-1.17352050261761,-1.24828980040133,-0.973826406401295,-1.41048824072015,-1.04260047661829,-1.48901583273273,-1.40576584961368,-1.3939763941223,-1.65102648665909,-1.87193953137209
1952-01-01,0.351315193144515,-0.438184104465095,-0.913917414033304,-0.675364036022989,-0.930652721052499,-1.06826975423763,-0.802100701866801,-1.22591256266737,-0.881954715776026,-1.28440313643765,-1.24549289834723,-1.22773473965677,-1.50797264758223
1952-02-01,0.237554287944991,0.329941585993652,-0.308202024039869,-0.735904135940199,-0.541780238186234,-0.778126661423819,-0.903944294155694,-0.688587401510376,-1.07206421469143,-0.757166236049579,-1.11636368010251,-1.08793043827672,-1.66104476955068
1952-03-01,0.0867081163120306,0.149810730578854,0.268852707736434,-0.294128600508498,-0.688943778799421,-0.520752478197884,-0.736463867483805,-0.849825282228077,-0.656277504751943,-1.02646228572824,-0.725507683412233,-1.06155124464616,-1.54373654502562
1952-04-01,1.40061396192198,0.85695673235348,0.720543346880101,0.64110556110285,0.103958619994965,-0.339415735162639,-0.237776882230022,-0.443337276101196,-0.576843291813212,-0.409137771297044,-0.776782050741669,-0.492181815063054,-1.47120042203025
1952-05-01,-2.4357755685666,-0.531005425305726,-0.38680078588942,-0.262105851306335,-0.046232357513663,-0.515937508986321,-0.833883737965487,-0.671501600154305,-0.84586025369592,-0.941516155994479,-0.765936098399566,-1.11861414532545,-1.63496214683658
1952-06-01,0.624387157994895,-0.662965561750466,0.041033466289435,0.0298831950585028,0.071897859431857,0.180957735590414,-0.254444167875878,-0.600036019417936,-0.484240869130639,-0.658293662231719,-0.77588665892421,-0.614543682946263,-1.26457760771099
1952-07-01,-1.7440177519216,-0.513424246233154,-1.46537494200418,-0.812006950912497,-0.689173920506772,-0.589032428828019,-0.361353158527022,-0.731345263945084,-0.987587296261668,-0.851413055586398,-0.984318825088724,-1.08333508526214,-1.43793629352185
1952-08-01,-0.560047922026935,-1.54609712690211,-0.716907638489778,-1.47658878950126,-0.972820477207061,-0.868551847124863,-0.791725520521103,-0.555021378984429,-0.866497634498253,-1.10848451062349,-0.96167566798065,-1.08395934345721,-1.55293752324463
1952-09-01,0.0341069204008968,-0.447877275310965,-1.30932403252691,-0.735809652109987,-1.42147425457903,-0.957100792382603,-0.857082548510718,-0.779369788425325,-0.549713482777194,-0.870196252469968,-1.11273097852674,-0.966114397104383,-1.36575519527821
1952-10-01,-2.05494283499296,-1.4751374338103,-1.62012136831311,-2.29774153555248,-1.662556140512,-2.32724831512776,-1.861949204719,-1.66403201418493,-1.55176631288728,-1.16517595265613,-1.40539437808509,-1.58416818463368,-1.60129649534612
1952-11-01,-0.466319163375704,-1.65184201722315,-1.46290702137028,-1.52752777354857,-2.05900069537227,-1.59058168695211,-2.14673959351665,-1.77423711849394,-1.65297428991378,-1.60144897919127,-1.28296115918694,-1.47488519564058,-1.89535342486801
1952-12-01,0.529392452118181,0.000298896421716361,-0.949897917200772,-0.941595912310598,-1.04924110782632,-1.52814979700267,-1.19910782748076,-1.73031234684583,-1.44584640449767,-1.37309221594039,-1.32461350082957,-1.07353786242461,-1.82414675112767
1953-01-01,0.267134400858027,0.504130021115811,0.0716958229415071,-0.759007724181545,-0.773354360494649,-0.926938489940352,-1.33746978754849,-1.06841145507627,-1.54448535562957,-1.28136766354864,-1.24992876324765,-1.19736974474382,-1.60189965544469
1953-02-01,-0.278584461677367,-0.0108559120248468,0.2749004070142,-0.0601272599584306,-0.769372363205528,-0.790687440771841,-0.918888127353467,-1.30329085209096,-1.05382081293257,-1.47517839869021,-1.23854807507427,-1.21310674415294,-1.5954522448586
1953-03-01,0.437408747492045,0.00449114342627696,0.122196075334764,0.356900971156734,0.0307421667402682,-0.643686130854806,-0.661541740347972,-0.783927723261796,-1.1541565355955,-0.93712980220614,-1.32956421415582,-1.10392282665591,-1.51522956502126
1953-04-01,0.112101299614646,0.331821005295992,0.00572885341286336,0.110991545416032,0.338386897601101,0.0332562433136542,-0.614999280495566,-0.625336879769548,-0.748871509843811,-1.10625282177707,-0.905968868831569,-1.28690318771946,-1.26509488681543
1953-05-01,-0.868583832715404,-0.629517530354742,-0.247547051190067,-0.428712119291056,-0.219824806490246,0.0384562847553135,-0.199710793422077,-0.815948636168556,-0.802985023211662,-0.904726268783911,-1.25882483633459,-1.05623381075105,-1.53737648470788
1953-06-01,0.694010953497791,0.0405918475163379,0.0361305263366517,0.17510538336456,-0.0178572243237514,0.066285236162332,0.257037696926942,0.00118107443132024,-0.59413676174764,-0.595681164915821,-0.719550901194308,-1.06317745342744,-1.19755899555363
1953-07-01,1.04460502158249,1.07372322078791,0.625411083491839,0.595516931325715,0.626993237271751,0.438175359170561,0.427497259583399,0.565464209877492,0.290472829392303,-0.278464545458685,-0.289109958418836,-0.42351855223395,-1.1083385467606
1953-08-01,-0.299239679660702,0.493962187741532,0.663831002615655,0.326109250062782,0.314820886159748,0.382643818003393,0.233855322569254,0.259947640000751,0.395941491021404,0.164990229128565,-0.363250923887624,-0.369424622364079,-1.05893877804024
1953-09-01,0.117667308250272,-0.214376044390631,0.398325785568997,0.603404492191508,0.287152675138741,0.278152329423334,0.345065579941952,0.206561241963781,0.232941155274847,0.365471802592208,0.146917057403763,-0.363740276653889,-0.949073551654809
1953-10-01,0.789769830037081,0.601283554549909,0.307843889691778,0.736893345730407,0.89152239043709,0.614530325308038,0.6099351035136,0.638952784802763,0.501644783461097,0.470446064746547,0.564833544480819,0.346840546288488,-0.831729998748153
1953-11-01,0.789685386316639,1.00130419952982,0.881601973504116,0.61178552639919,0.921901531380462,1.02970203427902,0.813846878881998,0.810006869286628,0.832719953959822,0.728066368553815,0.680487654816282,0.745965046119856,-0.466342944345416
1953-12-01,0.937817465472658,1.08210926528167,1.22818067709488,1.15774233239021,0.891908514376851,1.14971858500069,1.23217633226946,1.07270629834489,1.08925814247563,1.1051966409059,1.00330523806484,0.9304096839059,-0.0739044247690016
1954-01-01,-0.504591568750614,0.329257381959259,0.653136035026269,0.863709709153131,0.821608245025338,0.627117830461207,0.869792943779068,0.97354931158392,0.808627117534085,0.814593316522882,0.857705998860334,0.75188160793138,-0.272615841914662
1954-02-01,2.59531135186629,1.31426635720092,1.61811247277747,1.57670797370755,1.59897791209979,1.56457834412317,1.33675864478648,1.5125386605918,1.55902442502623,1.4223505686492,1.43639160549939,1.46277849211121,0.230941927135275
1954-03-01,-1.44480385528092,1.59444193741142,0.702773813329717,1.11229666994897,1.18661290103157,1.27514642781421,1.23399332355576,1.03021362758557,1.22274318077852,1.29209670041418,1.15052467569733,1.15632293813698,0.0739963688325495
1954-04-01,1.15886920330594,-0.207627718132643,1.81222777604905,0.953517435110596,1.30464378437259,1.33725921687295,1.41231267856704,1.35677180391061,1.15668248648634,1.33715208110575,1.40497978906661,1.27066292120772,0.0453861373105708
1954-05-01,-0.389438551953376,0.37027330181869,-0.423375527873519,1.35706835015854,0.731251316449534,1.10933346819557,1.18311424087631,1.28895682643524,1.22046539478199,1.03048848174274,1.22349326036728,1.29831332627358,0.213338559549109
1954-06-01,0.305256223676867,-0.063959633897803,0.39701889890103,-0.200007578077479,1.23819677617139,0.718263349344915,1.0544151184559,1.15569781457559,1.27098172011453,1.20819980672094,1.04042291807824,1.22922981899016,0.151529610027901
1954-07-01,-0.0782319900842223,0.0836638958219944,-0.161869279784283,0.214075289718492,-0.271036295305084,0.993817714282953,0.576940407228198,0.891376093706316,1.01348298757814,1.15132690776086,1.08041702922531,0.935188256226501,0.351632194203918
