Date,Tmax_C,Tmin_C,Tmean_C,Total_Precip_mm,Rain_mm,Snow_cm
2000-01-01,-9,-14,-11.5,1.5,0,1.5
2000-01-02,-8,-15,-11.5,0,0,0
2000-01-03,-7.5,-10,-8.8,7,0,7
2000-01-04,-2,-8,-5,0,0,0
2000-01-05,-0.5,-13,-6.8,1,0,1
2000-01-06,5.5,-5,0.3,0,0,0
2000-01-07,4,-2.5,0.8,0,0,0
2000-01-08,3,-7,-2,0,0,0
2000-01-09,-2.5,-8.5,-5.5,4,0,4
2000-01-10,-5.5,-16,-10.8,0,0,0
2000-01-11,-8,-12,-10,0,0,0
2000-01-12,-10,-14,-12,0,0,0
2000-01-13,-10,-12.5,-11.3,0.2,0,0.2
2000-01-14,-13,-14.5,-13.8,1.2,0,1.2
2000-01-15,-14,-19,-16.5,0,0,0
2000-01-16,-17,-24,-20.5,0,0,0
2000-01-17,-12,-25,-18.5,0,0,0
2000-01-18,-14.5,-27.5,-21,0,0,0
2000-01-19,-11.5,-25,-18.3,0,0,0
2000-01-20,-12,-22,-17,0,0,0
2000-01-21,-11.5,-23,-17.3,0,0,0
2000-01-22,-9,-20.5,-14.8,0,0,0
2000-01-23,-10,-21.5,-15.8,0,0,0
2000-01-24,-7.5,-21.5,-14.5,0,0,0
2000-01-25,-7.5,-10,-8.8,0,0,0
2000-01-26,-8,-15.5,-11.8,0,0,0
2000-01-27,3.5,-15,-5.8,0,0,0
2000-01-28,8,-2,3,0,0,0
2000-01-29,4,-4,0,0,0,0
2000-01-30,-1,-9,-5,0,0,0
2000-01-31,-1,-11,-6,2.6,0,2.6
2000-02-01,1,-5,-2,0,0,0
2000-02-02,1,-9.5,-4.3,0,0,0
2000-02-03,-2,-13.5,-7.8,0,0,0
2000-02-04,0.5,-9.5,-4.5,0,0,0
2000-02-05,-5,-17,-11,0,0,0
2000-02-06,-5.5,-18,-11.8,0,0,0
2000-02-07,-3,-9,-6,6.4,0,6.4
2000-02-08,3.5,-6,-1.3,0,0,0
2000-02-09,-2,-3,-2.5,0.4,0,0.4
2000-02-10,-5,-8,-6.5,0,0,0
2000-02-11,-8,-21.5,-14.8,0,0,0
2000-02-12,-6,-26.5,-16.3,0,0,0
2000-02-13,-5,-26,-15.5,0,0,0
2000-02-14,-4.5,-25,-14.8,0,0,0
2000-02-15,-2,-22.5,-12.3,0,0,0
2000-02-16,-6,-23,-14.5,0,0,0
2000-02-17,0,-8,-4,0,0,0
2000-02-18,-0.5,-14.5,-7.5,0,0,0
2000-02-19,3.5,-4.5,-0.5,0,0,0
2000-02-20,3,-4,-0.5,0,0,0
2000-02-21,4,-9.5,-2.8,0.2,0,0.2
2000-02-22,5.5,-5,0.3,2,2,0
2000-02-23,3,-6.5,-1.8,0,0,0
2000-02-24,3.5,-8.5,-2.5,0,0,0
2000-02-25,3,-5,-1,0,0,0
