Date,Tmax_C,Tmin_C,Tmean_C,Total_Precip_mm,Rain_mm,Snow_cm
2000-01-01,-4,-8,-6,4.4,0,4.4
2000-01-02,-9.5,-16.5,-13,1.2,0,1.2
2000-01-03,-2.5,-20,-11.3,14.2,0,14.2
2000-01-04,1,-9.5,-4.3,1,0,1
2000-01-05,-0.5,-5,-2.8,10.4,0,10.4
2000-01-06,1.5,-3,-0.8,0,0,0
2000-01-07,3,-9.5,-3.3,0.6,0,0.6
2000-01-08,3,-3,0,2.8,0,2.8
2000-01-09,-3,-10,-6.5,2.8,0,2.8
2000-01-10,-9,-17,-13,0,0,0
2000-01-11,-12,-22.5,-17.3,0,0,0
2000-01-12,-15,-16,-15.5,0,0,0
2000-01-13,-13.5,-17.5,-15.5,0.2,0,0.2
2000-01-14,-16,-19,-17.5,0,0,0
2000-01-15,-17,-19.5,-18.3,0,0,0
2000-01-16,-16,-29,-22.5,3.8,0,3.8
2000-01-17,-13,-21,-17,1.6,0,1.6
2000-01-18,-16,-23,-19.5,0,0,0
2000-01-19,-15.5,-27,-21.3,0,0,0
2000-01-20,-16,-24,-20,0,0,0
2000-01-21,-15.5,-27.5,-21.5,0,0,0
2000-01-22,-13.5,-26.5,-20,0,0,0
2000-01-23,-16,-26.5,-21.3,0,0,0
2000-01-24,-11,-26,-18.5,0,0,0
2000-01-25,-9,-12.5,-10.8,0.4,0,0.4
2000-01-26,-10,-16.5,-13.3,0.8,0,0.8
2000-01-27,-6.5,-15,-10.8,0,0,0
2000-01-28,-2.5,-14,-8.3,0,0,0
2000-01-29,-3,-17,-10,0,0,0
2000-01-30,-3,-19,-11,0,0,0
2000-01-31,-2,-15.5,-8.8,1.6,0,1.6
2000-02-01,0.5,-8,-3.8,1,0,1
2000-02-02,2,-10,-4,0,0,0
2000-02-03,-2,-15,-8.5,0,0,0
2000-02-04,-6.5,-19,-12.8,0,0,0
2000-02-05,-11,-21,-16,0,0,0
2000-02-06,-8,-14,-11,0,0,0
2000-02-07,-3,-12.5,-7.8,3.8,0,3.8
2000-02-08,4.5,-5,-0.3,0,0,0
2000-02-09,-5,-7,-6,1,0,1
2000-02-10,-6.5,-18.5,-12.5,0,0,0
2000-02-11,-12,-28,-20,0,0,0
2000-02-12,-11,-28,-19.5,0,0,0
2000-02-13,-11,-30,-20.5,0,0,0
2000-02-14,-10.5,-27.5,-19,0,0,0
2000-02-15,-5,-20,-12.5,0,0,0
2000-02-16,-2.5,-20,-11.3,0,0,0
2000-02-17,-0.5,-14.5,-7.5,0,0,0
2000-02-18,-1.5,-16.5,-9,0,0,0
2000-02-19,0.5,-11,-5.3,0,0,0
2000-02-20,1,-8,-3.5,0,0,0
2000-02-21,3.5,-5,-0.8,3,0,3
2000-02-22,7,-3,2,0.8,0.8,0
2000-02-23,1.5,-2.5,-0.5,0,0,0
2000-02-24,4,-12.5,-4.3,0,0,0
2000-02-25,0,-12.5,-6.3,0,0,0
2000-02-26,3.5,-7.5,-2,0.2,0,0.2
2000-02-27,0,-10,-5,0,0,0
2000-02-28,0.5,-7.5,-3.5,1,0,1
2000-02-29,4.5,-2.5,1,0,0,0
