Date,Tmax_C,Tmin_C,Tmean_C,Total_Precip_mm,Rain_mm,Snow_cm
2000-01-01,-3.5,-9,-6.3,5.6,0,5.6
2000-01-02,-8.5,-20,-14.3,0,0,0
2000-01-03,1,-22,-10.5,21,0,21
2000-01-04,1,-6,-2.5,4,0,4
2000-01-05,-1,-10,-5.5,14.6,0,14.6
2000-01-06,0.5,-3,-1.3,6,0,6
2000-01-07,2,-4,-1,0,0,0
2000-01-08,3,-8,-2.5,2,0,2
2000-01-09,-2,-9,-5.5,0.2,0,0.2
2000-01-10,-6.5,-15.5,-11,0,0,0
2000-01-11,-8.5,-19.5,-14,1,0,1
2000-01-12,-14.5,-19.5,-17,1,0,1
2000-01-13,-13.5,-18,-15.8,4,0,4
2000-01-14,-16.5,-23,-19.8,1,0,1
2000-01-15,-14,-24,-19,0.8,0,0.8
2000-01-16,-13.5,-27,-20.3,3,0,3
2000-01-17,-12.5,-16,-14.3,3,0,3
2000-01-18,-13.5,-24,-18.8,0,0,0
2000-01-19,-12.5,-27,-19.8,0,0,0
2000-01-20,-16.5,-26.5,-21.5,0,0,0
2000-01-21,-14,-28,-21,0,0,0
2000-01-22,-14.5,-27,-20.8,0,0,0
2000-01-23,-12,-25,-18.5,0,0,0
2000-01-24,-7.5,-13.5,-10.5,0,0,0
2000-01-25,-10,-13.5,-11.8,0,0,0
2000-01-26,-5,-14,-9.5,1,0,1
2000-01-27,-1.5,-18,-9.8,0,0,0
2000-01-28,3.5,-10.5,-3.5,0,0,0
2000-01-29,4.5,-8,-1.8,0,0,0
2000-01-30,0.5,-18,-8.8,0,0,0
2000-01-31,6.5,-18,-5.8,1,0,1
2000-02-01,7,-4,1.5,1,0,1
2000-02-02,7,-8.5,-0.8,0,0,0
2000-02-03,0.5,-14,-6.8,0,0,0
2000-02-04,-3.5,-20,-11.8,0,0,0
2000-02-05,-9,-18,-13.5,0,0,0
2000-02-06,-6.5,-13,-9.8,0,0,0
2000-02-07,0.5,-14.5,-7,0.4,0.4,0
2000-02-08,6.5,-3,1.8,0,0,0
2000-02-09,-3.5,-7,-5.3,3,0,3
2000-02-10,-4.5,-19.5,-12,0,0,0
2000-02-11,-7,-26,-16.5,0,0,0
2000-02-12,-7,-28,-17.5,0,0,0
2000-02-13,-8,-29,-18.5,0,0,0
2000-02-14,-4.5,-28.5,-16.5,0,0,0
2000-02-15,-2.5,-18,-10.3,0,0,0
2000-02-16,1,-19,-9,0,0,0
2000-02-17,-0.5,-8,-4.3,0,0,0
2000-02-18,3,-16,-6.5,0,0,0
2000-02-19,4.5,-8,-1.8,0,0,0
2000-02-20,4.5,-2,1.3,0,0,0
2000-02-21,10,-1,4.5,0,0,0
2000-02-22,12.5,-4,4.3,0,0,0
2000-02-23,9.5,-7.5,1,0,0,0
2000-02-24,8.5,-6.5,1,0,0,0
2000-02-25,5.5,-12,-3.3,4,0,4
2000-02-26,5,-2,1.5,0,0,0
2000-02-27,1,-8.5,-3.8,0,0,0
2000-02-28,3.5,-7.5,-2,0,0,0
2000-02-29,7.5,-4,1.8,0,0,0
2000-03-01,3.5,-7.5,-2,5,5,0
2000-03-02,7.5,0.5,4,0,0,0
2000-03-03,7.5,0,3.8,1,1,0
2000-03-04,5.5,-9,-1.8,0,0,0
2000-03-05,5,-14,-4.5,0,0,0
2000-03-06,5,-14,-4.5,0,0,0
2000-03-07,5,-6,-0.5,0,0,0
2000-03-08,7,-7,0,0,0,0
2000-03-09,6.5,-2.5,2,0,0,0
2000-03-10,10,-6,2,3,0,3
2000-03-11,1.5,-2,-0.3,0,0,0
2000-03-12,8,-1.5,3.3,0,0,0
2000-03-13,11,-8,1.5,5,0,5
2000-03-14,-0.5,-4.5,-2.5,6.5,0,6.5
2000-03-15,3.5,-7.5,-2,5,3,2
2000-03-16,NA,-1,NA,NA,NA,NA
2000-03-18,NA,-1,NA,NA,NA,NA
2000-03-19,NA,-4,NA,NA,NA,NA
2000-03-21,10.5,-2,4.3,NA,NA,NA
2000-03-23,NA,-7.5,NA,NA,NA,NA
2000-03-25,9.5,-1,4.3,0,0,0
2000-03-26,8.5,-2,3.3,0,0,0
2000-03-27,9.5,0.5,5,0,0,0
2000-03-28,6,-3.5,1.3,0,0,0
2000-03-29,10,-7,1.5,0,0,0
2000-03-30,10.5,-5,2.8,2,2,0
2000-03-31,11,-2,4.5,6.2,6.2,0
2000-04-01,11.5,-1,5.3,0.5,0.5,0
2000-04-02,11.5,-2,4.8,4,4,0
2000-04-03,12.5,1.5,7,3,3,0
2000-04-04,8.5,-1,3.8,0,0,0
2000-04-05,8.5,-2,3.3,2.8,1.8,1
2000-04-06,7.5,-4.5,1.5,2.8,2.8,0
2000-04-07,10.5,-3.5,3.5,0.5,0.5,0
2000-04-08,11.5,-3.5,4,0,0,0
2000-04-09,10.5,-2.5,4,0,0,0
2000-04-10,14.5,-6,4.3,0,0,0
2000-04-11,13,-3,5,0,0,0
2000-04-12,10.5,-0.5,5,3,0,3
2000-04-13,-0.5,-7.5,-4,0,0,0
2000-04-14,2.5,-10,-3.8,0,0,0
2000-04-15,7,-10,-1.5,0,0,0
