"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1950,,,-1.08605050702802,-0.694049642748969,-0.182116462609734,0.215705869471267,0.318119734624396,,0.0824181032994021,0.249540493553615,0.460305575676172,0.460305575676172
1951,0.523481850937225,0.235743744860609,0.0824181032994021,-0.0494150377589495,-0.352958155945235,-0.352958155945235,-0.423992609193271,,-0.388230441913845,-0.215705869471267,-0.497236059072662,-0.780490070666475
1952,-1.20578079241577,-1.0777391993448,-0.780490070666475,-0.460305575676172,-0.283663305145895,0.0494150377589495,0.249540493553615,,0.283663305145895,-1.21358028323859,-1.28545384319138,-1.21358028323859
1953,-1.1394246210383,-0.96529256234021,-0.736581689288402,-0.573252135887015,-0.612511057032684,-0.534857653952456,-0.497236059072662,,-0.283663305145895,0.0164657221579194,0.148731336602831,0.573252135887014
1954,0.726522308143693,0.816401567280413,0.974103292580923,1.08605050702802,1.36466160509154,1.45349946276876,1.6770304823129,,2.04365224743997,1.82991789218066,0.780490070666475,0.0824181032994021
1955,-0.167623275332726,0.133872081369972,0.148731336602831,0.318119734624396,0.974103292580923,1.21358028323859,1.45349946276876,,1.82991789218066,2.04365224743997,2.04365224743997,1.55556811761253
1956,1.1394246210383,0.913418719086485,0.652737719370912,0.460305575676172,0.423992609193271,0.318119734624396,0.115511208380627,,0.974103292580923,1.55556811761253,1.28545384319138,1.28545384319138
1957,1.0777391993448,1.01990350329444,0.873200389983548,0.534857653952456,0.352958155945235,0.148731336602831,-0.148731336602832,,0.694049642748968,0.736581689288402,-0.873200389983548,-0.318119734624396
1958,0.100272744029131,0.562148407289032,0.736581689288402,0.736581689288402,0.534857653952456,-0.0164657221579195,-0.318119734624396,,-0.573252135887015,0.182116462609734,-0.573252135887015,-0.652737719370912
1959,-0.485582726681308,-0.304977371735431,-0.0164657221579195,0.0494150377589495,0.460305575676172,0.612511057032684,0.780490070666475,,0.825957561563755,0.652737719370912,0.318119734624396,0.497236059072662
1960,0.601674478859444,0.683734704037151,0.215705869471267,0.148731336602831,0.318119734624396,0.825957561563755,1.08605050702802,,1.21358028323859,0.873200389983548,0.182116462609734,-0.148731336602832
1961,-0.201566558459363,-0.201566558459363,0.0494150377589495,0.115511208380627,0.215705869471267,0.115511208380627,-0.0164657221579195,,0.148731336602831,0.460305575676172,0.497236059072662,0.182116462609734
1962,0.270198619437683,0.411765675544755,0.283663305145895,-0.0164657221579195,0.148731336602831,0.534857653952456,0.873200389983548,,0.873200389983548,0.612511057032684,-0.352958155945235,-0.215705869471267
1963,-0.0667862577801507,0,-0.182116462609734,-0.182116462609734,-0.0164657221579195,0.0164657221579194,0.0824181032994021,,0.249540493553615,-0.0164657221579195,0.388230441913845,0.423992609193271
1964,0.913418719086485,1.1394246210383,1.28545384319138,1.45349946276876,1.55556811761253,1.82991789218066,1.82991789218066,,1.6770304823129,1.6770304823129,1.14748230156437,0.694049642748968
1965,0.448368718309631,0.485582726681308,0.352958155945235,0.423992609193271,0.825957561563755,0.873200389983548,0.922477505161213,,0.780490070666475,0.922477505161213,0.283663305145895,0.115511208380627
1966,0.201566558459363,0.642163894674292,0.825957561563755,0.922477505161213,0.873200389983548,0.922477505161213,0.974103292580923,,1.08605050702802,1.45349946276876,1.55556811761253,1.36466160509154
1967,1.67069628700307,1.54890004225171,1.6770304823129,1.82991789218066,1.82991789218066,1.6770304823129,1.36466160509154,,1.02846541548548,0.974103292580923,0.215705869471267,-0.0494150377589495
1968,0.133872081369972,0.304977371735431,0.460305575676172,0.573252135887014,0.780490070666475,0.974103292580923,0.825957561563755,,0.736581689288402,1.14748230156437,1.02846541548548,1.21358028323859
1969,0.816401567280413,0.523481850937225,-0.148731336602832,-0.423992609193271,-0.534857653952456,-0.612511057032684,-0.460305575676172,,-0.182116462609734,0.148731336602831,-0.652737719370912,-0.460305575676172
1970,-0.770683475829423,-0.816401567280413,-0.974103292580923,-0.922477505161213,-0.652737719370912,-0.182116462609734,0.283663305145895,,0.612511057032684,0.573252135887014,-0.423992609193271,-0.612511057032684
