"month","mean_precip","min_precip","max_precip","std_dev","month_name"
1,82.6241288296814,33.3304628316239,447.207969294763,60.9153423898111,"January"
2,60.914978502531,22.5220007000883,356.568282886751,48.0237895142986,"February"
3,59.094050877394,23.8540435397896,333.361504660723,41.9260156409843,"March"
4,55.1981383214094,23.6703091688564,281.613950930095,34.2302366906067,"April"
5,58.7879780822227,27.9131748228744,199.623606129439,21.6177438206389,"May"
6,75.0921377863377,36.3277851896495,203.779518533817,23.6779069913692,"June"
7,69.1883178110609,30.9767715359493,176.157767329929,22.4459071176756,"July"
8,66.830440465467,29.6329846797131,209.185383582831,24.8286257778004,"August"
9,77.0264109947338,35.9191769683476,317.613892486981,36.5121500508791,"September"
10,104.979817569696,43.807214229769,514.049645176304,67.63391813203,"October"
11,100.056718507615,41.3881169630545,506.461722543463,68.9830503631602,"November"
12,88.0444732434042,34.7334064792544,484.855729498361,66.8731743731689,"December"
