"date","year","month","mean_precip","min_precip","max_precip","std_dev"
1950-01-01,1950,1,676.754999585551,232.664987444878,2473.00219535828,385.441434057509
1950-02-01,1950,2,3490.55152561735,981.168150901794,22862.8540039062,3007.10369484977
1950-03-01,1950,3,1447.04858608106,527.721583843231,9655.62915802002,1218.78855870164
1950-04-01,1950,4,2400.10968235014,924.531579017639,11878.4494400024,1521.90918637497
1950-05-01,1950,5,1705.11142360004,487.680792808533,11478.8064956665,1343.25305262421
1950-06-01,1950,6,814.940927659764,366.02771282196,2684.98373031616,293.868635709052
1950-07-01,1950,7,1622.40680843187,496.934413909912,3825.30236244202,509.831287819859
1950-08-01,1950,8,2401.806535292,1310.14478206635,6196.78688049316,753.970826106732
1950-09-01,1950,9,1487.16346606005,570.851624011993,9197.2599029541,1010.90556428483
1950-10-01,1950,10,2619.21277035415,1066.91062450409,14025.4144668579,1900.71777412529
1950-11-01,1950,11,3696.52106656748,2324.89490509033,16350.6641387939,2148.27767879131
1950-12-01,1950,12,2819.36122551223,913.853764533997,17552.9155731201,2359.08648704441
1951-01-01,1951,1,1432.44172015746,606.885194778442,9535.51959991455,1241.02729786491
1951-02-01,1951,2,2223.21037988587,881.109833717346,12429.1439056396,1448.9473404449
1951-03-01,1951,3,1970.51910634629,887.555301189423,10540.0581359863,1323.5997933031
1951-04-01,1951,4,790.631680585006,152.898222208023,4279.46186065674,602.278795708219
1951-05-01,1951,5,2445.3672074894,997.722387313843,7188.07411193848,878.979900896241
1951-06-01,1951,6,1174.89112623676,497.696697711945,4705.82962036133,511.058404953775
1951-07-01,1951,7,2870.10491002199,612.777173519135,5108.39033126831,1049.02843018482
1951-08-01,1951,8,1272.24192036762,305.91082572937,2923.26998710632,437.709646101549
1951-09-01,1951,9,1717.14080533021,909.564554691315,6684.36050415039,583.904420094555
1951-10-01,1951,10,3348.3989049946,1601.12142562866,13733.7512969971,1821.18825069026
1951-11-01,1951,11,2381.82779135208,914.50822353363,13118.9317703247,1754.23505891261
1951-12-01,1951,12,1900.16298232035,789.064884185791,9928.14064025879,1197.81677809919
1952-01-01,1952,1,3085.01267716356,1257.53784179688,16645.580291748,2103.84151800748
1952-02-01,1952,2,2046.50963917037,760.392308235168,11893.5041427612,1587.46319373734
1952-03-01,1952,3,1893.53352936819,835.517168045044,12190.4850006104,1514.97073091831
1952-04-01,1952,4,2538.34120528056,807.914197444916,17562.7880096436,2499.15881285781
1952-05-01,1952,5,623.095614574344,137.943893671036,3183.50267410278,351.423617391087
1952-06-01,1952,6,2982.63240501082,1603.4243106842,7132.9174041748,670.446717640779
1952-07-01,1952,7,980.627705338854,296.06556892395,3190.61613082886,421.437371821406
1952-08-01,1952,8,1626.23222822922,736.233294010162,5483.57915878296,631.592502237716
1952-09-01,1952,9,2546.37226576988,1206.19475841522,15531.9995880127,1683.06309348631
1952-10-01,1952,10,1663.5135934094,260.444819927216,11909.9636077881,1628.72852452855
1952-11-01,1952,11,2458.31254758446,863.15393447876,12535.2849960327,1907.08523759383
1952-12-01,1952,12,3194.50923102609,806.947469711304,15650.2780914307,2413.83254636292
1953-01-01,1953,1,2602.80269411355,1290.02010822296,14644.380569458,1863.55125564248
1953-02-01,1953,2,1937.74336687715,440.967261791229,15419.3983078003,2051.04884013641
1953-03-01,1953,3,2350.46372485107,694.818794727325,15904.4561386108,2039.9607793619
1953-04-01,1953,4,1770.69149115776,682.658731937408,5350.57401657104,681.682113278555
1953-05-01,1953,5,1337.22716327167,716.421544551849,3412.34707832336,425.586652802122
1953-06-01,1953,6,2785.00958056741,1181.65111541748,4823.28605651855,734.374163428393
1953-07-01,1953,7,3015.09701888755,1575.69766044617,5350.25119781494,651.84664522399
1953-08-01,1953,8,1617.50839070767,485.686361789703,4194.42176818848,563.398499506027
1953-09-01,1953,9,2884.83381955737,888.651907444,10418.1756973267,1387.26052630487
1953-10-01,1953,10,4199.69851621406,1475.37887096405,24066.3661956787,3347.7387877644
1953-11-01,1953,11,4357.19341727403,1357.56027698517,27496.1795806885,3724.3521209725
1953-12-01,1953,12,3804.77787291302,1227.84054279327,25417.96875,3528.9015661282
1954-01-01,1954,1,1983.12939602325,801.197469234467,13368.4120178223,1840.9837334072
1954-02-01,1954,2,4841.14819441446,1683.87377262115,28344.0189361572,4367.00453172304
1954-03-01,1954,3,1047.31812877623,500.908374786377,4375.50783157349,560.872187144132
1954-04-01,1954,4,2409.71948192939,905.740320682526,13518.7158584595,1883.12688708804
1954-05-01,1954,5,1601.36290949799,660.399198532104,3273.31042289734,431.778395176766
1954-06-01,1954,6,2954.1486406623,1407.00161457062,9109.4856262207,1128.98258561017
1954-07-01,1954,7,2202.04996108604,762.470543384552,5302.25086212158,700.399727843998
1954-08-01,1954,8,3299.22757122447,929.328382015228,5906.48031234741,875.522891727689
1954-09-01,1954,9,2862.53292973225,1098.73569011688,12225.9836196899,1401.3766865309
1954-10-01,1954,10,3780.26261655993,1210.04974842072,20430.6316375732,2845.06634452744
1954-11-01,1954,11,4448.08206926374,1694.09322738647,24671.2741851807,3326.94724182591
1954-12-01,1954,12,4156.91123902798,1332.85737037659,24600.4581451416,3566.15044284205
1955-01-01,1955,1,2146.32317626099,479.017853736877,13901.5073776245,1737.47522402849
1955-02-01,1955,2,2267.96626768231,1049.35276508331,13860.2800369263,1670.0426035692
1955-03-01,1955,3,2157.48008856407,913.880527019501,11614.4714355469,1355.53849242392
1955-04-01,1955,4,2182.72430682344,537.758708000183,10336.0691070557,1420.49691341175
