"timescale","threshold","mean_retained_abs","mean_retained_rel","min_retained","max_retained","zero_frac_median","median_nonzero_years","stability_pct","score"
1,0.01,0.808116515837104,0.808243727598566,0.0786199095022624,1,0,76,100,0.921217477375566
1,0.03,0.764988687782805,0.765421618562535,0.0690045248868778,0.999434389140271,0,76,99.9434389140272,0.914748303167421
1,0.05,0.743259803921569,0.743680437653273,0.0644796380090498,0.999434389140271,0,76,99.9434389140272,0.911488970588235
1,0.075,0.726574283559578,0.726985474438785,0.0588235294117647,0.999434389140271,0,76,99.9434389140272,0.908986142533937
1,0.1,0.708427601809955,0.708828522920204,0.0554298642533937,0.999434389140271,0,76,99.9434389140272,0.906264140271493
1,0.15,0.681702488687783,0.682088285229202,0.041289592760181,0.999434389140271,0,76,99.9434389140272,0.902255373303168
2,0.01,0.858691553544495,0.858847387285418,0.196266968325792,1,0,76,100,0.928803733031674
2,0.03,0.815705128205128,0.816166760988493,0.137443438914027,0.999434389140271,0,76,99.9434389140272,0.922355769230769
2,0.05,0.79053544494721,0.790982833427655,0.100678733031674,0.999434389140271,0,76,99.9434389140272,0.918580316742082
2,0.075,0.765082956259427,0.765515940388606,0.0616515837104072,0.999434389140271,0,76,99.9434389140272,0.914762443438914
2,0.1,0.748633107088989,0.749056781739294,0.0554298642533937,0.999434389140271,0,76,99.9434389140272,0.912294966063348
2,0.15,0.7213895173454,0.721797774004905,0.0463800904977376,0.999434389140271,0,76,99.9434389140272,0.90820842760181
3,0.01,0.914121417797888,0.914308621014903,0.399321266968326,1,0,76,100,0.937118212669683
3,0.03,0.87565987933635,0.876155442369364,0.180995475113122,0.999434389140271,0,76,99.9434389140272,0.931348981900453
3,0.05,0.846012443438914,0.846491228070175,0.124434389140271,0.999434389140271,0,76,99.9434389140272,0.926901866515837
3,0.075,0.821596907993967,0.822061875117902,0.0899321266968326,0.999434389140271,0,76,99.9434389140272,0.923239536199095
3,0.1,0.801753393665158,0.802207130730051,0.0774886877828054,0.999434389140271,0,76,99.9434389140272,0.920263009049774
3,0.15,0.774509803921569,0.774948122995661,0.0661764705882353,0.999434389140271,0,76,99.9434389140272,0.916176470588235
