Date,Parameter,Level_m,Symbol
2011-01-01,Level,0.569000005722046,NA
2011-01-02,Level,0.564999997615814,NA
2011-01-03,Level,0.564000010490417,NA
2011-01-04,Level,0.565999984741211,NA
2011-01-05,Level,0.566999971866608,NA
2011-01-06,Level,0.569000005722046,NA
2011-01-07,Level,0.582000017166138,NA
2011-01-08,Level,0.587000012397766,NA
2011-01-09,Level,0.583999991416931,NA
2011-01-10,Level,0.574999988079071,NA
2011-01-11,Level,0.574000000953674,NA
2011-01-12,Level,0.598999977111816,NA
2011-01-13,Level,0.620000004768372,NA
2011-01-14,Level,0.626999974250793,NA
2011-01-15,Level,0.648000001907349,NA
2011-01-16,Level,0.694999992847443,NA
2011-01-17,Level,0.666999995708466,NA
2011-01-18,Level,0.635999977588654,NA
2011-01-19,Level,0.612999975681305,NA
2011-01-20,Level,0.612999975681305,NA
2011-01-21,Level,0.603999972343445,NA
2011-01-22,Level,0.593999981880188,NA
2011-01-23,Level,0.597000002861023,NA
2011-01-24,Level,0.59799998998642,NA
2011-01-25,Level,0.591000020503998,NA
2011-01-26,Level,0.596000015735626,NA
2011-01-27,Level,0.598999977111816,NA
2011-01-28,Level,0.601999998092651,NA
2011-01-29,Level,0.593999981880188,NA
2011-01-30,Level,0.591000020503998,NA
2011-01-31,Level,0.587999999523163,NA
2011-02-01,Level,0.583000004291534,NA
2011-02-02,Level,0.57700002193450906,NA
2011-02-03,Level,0.574000000953674,NA
2011-02-04,Level,0.579999983310699,NA
2011-02-05,Level,0.580999970436096,NA
2011-02-06,Level,0.587999999523163,NA
2011-02-07,Level,0.605000019073486,NA
2011-02-08,Level,0.598999977111816,NA
2011-02-09,Level,0.596000015735626,NA
2011-02-10,Level,0.589999973773956,NA
2011-02-11,Level,0.583999991416931,NA
2011-02-12,Level,0.583000004291534,NA
2011-02-13,Level,0.575999975204468,NA
2011-02-14,Level,0.583999991416931,NA
2011-02-15,Level,0.564000010490417,NA
2011-02-16,Level,0.592999994754791,NA
2011-02-17,Level,0.598999977111816,NA
2011-02-18,Level,0.592999994754791,NA
2011-02-19,Level,0.591000020503998,NA
2011-02-20,Level,0.583999991416931,NA
2011-02-21,Level,0.582000017166138,NA
2011-02-22,Level,0.580999970436096,NA
2011-02-23,Level,0.586000025272369,NA
2011-02-24,Level,0.58899998664856,NA
2011-02-25,Level,0.564000010490417,NA
