Date,Parameter,Discharge_cms,Symbol
1977-01-01,Flow,0.782000005245209,B
1977-01-02,Flow,0.764999985694885,B
1977-01-03,Flow,0.748000025749207,B
1977-01-04,Flow,0.725000023841858,B
1977-01-05,Flow,0.704999983310699,B
1977-01-06,Flow,0.690999984741211,B
1977-01-07,Flow,0.674000024795532,B
1977-01-08,Flow,0.660000026226044,B
1977-01-09,Flow,0.646000027656555,B
1977-01-10,Flow,0.637000024318695,B
1977-01-11,Flow,0.630999982357025,B
1977-01-12,Flow,0.629000008106232,B
1977-01-13,Flow,0.616999983787537,B
1977-01-14,Flow,0.611999988555908,B
1977-01-15,Flow,0.609000027179718,B
1977-01-16,Flow,0.606000006198883,B
1977-01-17,Flow,1.70000004768372,B
1977-01-18,Flow,1.77999997138977,B
1977-01-19,Flow,1.5,B
1977-01-20,Flow,1.36000001430511,B
1977-01-21,Flow,1.25,B
1977-01-22,Flow,1.1599999666214,B
1977-01-23,Flow,1.08000004291534,B
1977-01-24,Flow,1.01999998092651,B
1977-01-25,Flow,0.949000000953674,B
1977-01-26,Flow,0.906000018119812,B
1977-01-27,Flow,0.864000022411346,B
1977-01-28,Flow,0.834999978542328,B
1977-01-29,Flow,0.787000000476837,B
1977-01-30,Flow,0.75,B
1977-01-31,Flow,0.722000002861023,B
1977-02-01,Flow,0.70200002193450906,B
1977-02-02,Flow,0.674000024795532,B
1977-02-03,Flow,0.651000022888184,B
1977-02-04,Flow,0.637000024318695,B
1977-02-05,Flow,0.623000025749207,B
1977-02-06,Flow,0.602999985218048,B
1977-02-07,Flow,0.579999983310699,B
1977-02-08,Flow,0.572000026702881,B
1977-02-09,Flow,0.569000005722046,B
1977-02-10,Flow,0.579999983310699,B
1977-02-11,Flow,0.595000028610229,B
1977-02-12,Flow,0.609000027179718,B
1977-02-13,Flow,0.637000024318695,B
1977-02-14,Flow,0.651000022888184,B
1977-02-15,Flow,0.665000021457672,B
1977-02-16,Flow,0.646000027656555,B
1977-02-17,Flow,0.637000024318695,B
1977-02-18,Flow,0.630999982357025,B
1977-02-19,Flow,0.625999987125397,B
1977-02-20,Flow,0.616999983787537,B
1977-02-21,Flow,0.609000027179718,B
1977-02-22,Flow,0.600000023841858,B
1977-02-23,Flow,0.58899998664856,B
1977-02-24,Flow,0.583000004291534,B
1977-02-25,Flow,0.578000009059906,B
1977-02-26,Flow,0.572000026702881,B
1977-02-27,Flow,0.564000010490417,B
1977-02-28,Flow,0.558000028133392,B
1977-03-01,Flow,0.549000024795532,B
1977-03-02,Flow,0.537999987602234,B
1977-03-03,Flow,0.532000005245209,B
1977-03-04,Flow,0.529999971389771,B
1977-03-05,Flow,0.52700001001358,B
1977-03-06,Flow,0.523999989032745,B
1977-03-07,Flow,0.523999989032745,B
1977-03-08,Flow,0.523999989032745,B
1977-03-09,Flow,0.521000027656555,B
1977-03-10,Flow,0.514999985694885,B
1977-03-11,Flow,0.509999990463257,B
1977-03-12,Flow,0.504000008106232,B
1977-03-13,Flow,0.497999995946884,B
1977-03-14,Flow,0.493000000715256,B
1977-03-15,Flow,0.486999988555908,B
1977-03-16,Flow,0.481000006198883,B
1977-03-17,Flow,0.476000010967255,B
1977-03-18,Flow,0.476000010967255,B
1977-03-19,Flow,0.483999997377396,B
1977-03-20,Flow,0.493000000715256,B
1977-03-21,Flow,0.490000009536743,B
1977-03-22,Flow,0.486999988555908,B
1977-03-23,Flow,0.479000002145767,B
1977-03-24,Flow,0.47299998998642,B
1977-03-25,Flow,0.46399998664856,B
1977-03-26,Flow,0.456000000238419,B
1977-03-27,Flow,0.446999996900558,B
1977-03-28,Flow,0.44200000166893,B
1977-03-29,Flow,0.439000010490417,B
1977-03-30,Flow,0.453000009059906,B
1977-03-31,Flow,0.495999991893768,B
1977-04-01,Flow,0.565999984741211,B
1977-04-02,Flow,0.680000007152557,B
1977-04-03,Flow,0.792999982833862,B
1977-04-04,Flow,0.892000019550323,B
1977-04-05,Flow,0.959999978542328,B
1977-04-06,Flow,1.04999995231628,B
1977-04-07,Flow,1.14999997615814,B
1977-04-08,Flow,1.25,B
1977-04-09,Flow,1.33000004291534,B
1977-04-10,Flow,1.41999995708466,B
1977-04-11,Flow,1.46000003814697,B
1977-04-12,Flow,1.46000003814697,B
1977-04-13,Flow,1.44000005722046,B
1977-04-14,Flow,1.41999995708466,B
1977-04-15,Flow,1.38999998569489,B
1977-04-16,Flow,1.35000002384186,B
1977-04-17,Flow,1.32000005245209,B
1977-04-18,Flow,1.29999995231628,B
1977-04-19,Flow,1.38999998569489,B
1977-04-20,Flow,1.5,B
1977-04-21,Flow,1.60000002384186,NA
1977-04-22,Flow,1.79999995231628,NA
1977-04-23,Flow,2.35999989509583,NA
1977-04-24,Flow,3.76999998092651,NA
1977-04-25,Flow,5.30000019073486,NA
1977-04-26,Flow,7.15999984741211,NA
1977-04-27,Flow,6.48000001907349,NA
1977-04-28,Flow,5.44000005722046,NA
1977-04-29,Flow,5.03999996185303,NA
1977-04-30,Flow,4.44999980926514,NA
1977-05-01,Flow,4.69999980926514,NA
1977-05-02,Flow,5.32000017166138,NA
1977-05-03,Flow,5.38000011444092,NA
1977-05-04,Flow,4.86999988555908,NA
1977-05-05,Flow,4.32999992370605,NA
1977-05-06,Flow,5.51999998092651,NA
1977-05-07,Flow,8.8100004196167,NA
1977-05-08,Flow,9.80000019073486,NA
1977-05-09,Flow,8.40999984741211,NA
1977-05-10,Flow,7.42000007629395,NA
1977-05-11,Flow,6.09000015258789,NA
1977-05-12,Flow,4.96000003814697,NA
1977-05-13,Flow,4.44999980926514,NA
1977-05-14,Flow,4.15999984741211,NA
1977-05-15,Flow,4.28000020980835,NA
1977-05-16,Flow,5.07000017166138,NA
1977-05-17,Flow,5.8899998664856,NA
1977-05-18,Flow,6.84999990463257,NA
1977-05-19,Flow,8.15999984741211,NA
1977-05-20,Flow,7.48000001907349,NA
1977-05-21,Flow,6.59999990463257,NA
1977-05-22,Flow,5.71999979019165,NA
1977-05-23,Flow,5.48999977111816,NA
1977-05-24,Flow,5.38000011444092,NA
1977-05-25,Flow,4.96000003814697,NA
1977-05-26,Flow,5.15000009536743,NA
1977-05-27,Flow,5.40999984741211,NA
1977-05-28,Flow,5.6100001335144,NA
1977-05-29,Flow,6,NA
1977-05-30,Flow,6.73999977111816,NA
1977-05-31,Flow,8.52000045776367,NA
1977-06-01,Flow,8.92000007629395,NA
1977-06-02,Flow,7.3600001335144,NA
1977-06-03,Flow,6.67999982833862,NA
1977-06-04,Flow,7.76000022888184,NA
1977-06-05,Flow,10.3999996185303,NA
1977-06-06,Flow,17.6000003814697,NA
1977-06-07,Flow,20.6000003814697,NA
1977-06-08,Flow,15.6999998092651,NA
1977-06-09,Flow,10.8999996185303,NA
1977-06-10,Flow,11.3000001907349,NA
1977-06-11,Flow,14.3999996185303,NA
1977-06-12,Flow,16.2999992370605,NA
1977-06-13,Flow,18,NA
1977-06-14,Flow,20.3999996185303,NA
1977-06-15,Flow,23.5,NA
1977-06-16,Flow,21.2999992370605,NA
1977-06-17,Flow,21.7000007629395,NA
1977-06-18,Flow,23.7999992370605,NA
1977-06-19,Flow,23.6000003814697,NA
1977-06-20,Flow,19.5,NA
1977-06-21,Flow,28.2000007629395,NA
1977-06-22,Flow,21.3999996185303,NA
1977-06-23,Flow,14.1000003814697,NA
1977-06-24,Flow,21.7000007629395,NA
1977-06-25,Flow,15.6999998092651,NA
1977-06-26,Flow,11.8999996185303,NA
1977-06-27,Flow,10.1000003814697,NA
1977-06-28,Flow,10.8999996185303,NA
1977-06-29,Flow,9.36999988555908,NA
1977-06-30,Flow,12.1000003814697,NA
1977-07-01,Flow,11.5,NA
1977-07-02,Flow,8.72000026702881,NA
1977-07-03,Flow,8.10000038146973,NA
1977-07-04,Flow,8.06999969482422,NA
1977-07-05,Flow,8.38000011444092,NA
1977-07-06,Flow,9,NA
1977-07-07,Flow,9.0600004196167,NA
1977-07-08,Flow,14.3999996185303,NA
1977-07-09,Flow,17.3999996185303,NA
1977-07-10,Flow,13.6999998092651,NA
1977-07-11,Flow,13.8999996185303,NA
1977-07-12,Flow,16.7999992370605,NA
1977-07-13,Flow,18.2999992370605,NA
1977-07-14,Flow,15,NA
1977-07-15,Flow,13.3000001907349,NA
1977-07-16,Flow,17.6000003814697,NA
1977-07-17,Flow,11.5,NA
1977-07-18,Flow,8.4399995803833,NA
1977-07-19,Flow,7.48000001907349,NA
1977-07-20,Flow,8.13000011444092,NA
