Date,Level_m
1981-07-16,3.607000112533569
1981-07-17,4
1981-07-18,4.159999847412109
1981-07-19,4.420000076293945
1981-07-20,4.525000095367432
1981-07-21,4.75
1981-07-22,4.880000114440918
1981-07-23,5.041999816894531
1981-07-24,5.079999923706055
1981-07-25,5.09499979019165
1981-07-26,5.099999904632568
1981-07-27,5.110000133514404
1981-07-28,5.114999771118164
1981-07-29,5.119999885559082
1981-07-30,5.114999771118164
1981-07-31,5.110000133514404
1981-08-01,5.090000152587891
1981-08-02,5.059999942779541
1981-08-03,5.005000114440918
1981-08-04,4.960000038146973
1981-08-05,4.932000160217285
1981-08-06,4.938000202178955
1981-08-07,5
1981-08-08,5.125
1981-08-09,5.35099983215332
1981-08-10,5.224999904632568
1981-08-11,5.142000198364258
1981-08-12,5.01800012588501
1981-08-13,4.9679999351501465
1981-08-14,5.019999980926514
1981-08-15,5.059999942779541
1981-08-16,5.099999904632568
1981-08-17,4.900000095367432
1981-08-18,4.775000095367432
1981-08-19,4.699999809265137
1981-08-20,4.534999847412109
1981-08-21,4.409999847412109
1981-08-22,4.300000190734863
1981-08-23,4.21999979019165
1981-08-24,4.114999771118164
1981-08-25,3.9800000190734863
1981-08-26,3.900000095367432
1981-08-27,3.805000066757202
1981-08-28,3.7200000286102295
1981-08-29,3.661999940872192
1981-08-30,3.5980000495910645
1981-08-31,3.515000104904175
1981-09-01,3.4200000762939453
1981-09-02,3.3499999046325684
1981-09-03,3.257999897003174
1981-09-04,3.188999891281128
1981-09-05,3.131999969482422
1981-09-06,3.095999956130981
1981-09-07,3.078000068664551
1981-09-08,3.065999984741211
1981-09-09,3.052000045776367
1981-09-10,3.0369999408721924
1981-09-11,3.0209999084472656
1981-09-12,3.01200008392334
1981-09-13,3.003999948501587
1981-09-14,2.999000072479248
1981-09-15,2.986999988555908
1981-09-16,2.9830000400543213
1981-09-17,2.9809999465942383
1981-09-18,2.9760000705718994
1981-09-19,2.961999893188477
1981-09-20,2.95199990272522
1981-09-21,2.943000078201294
1981-09-22,2.931999921798706
1981-09-23,2.9200000762939453
1981-09-24,2.9100000858306885
1981-09-25,2.900000095367432
1981-09-26,2.888000011444092
1981-09-27,2.880000114440918
1981-09-28,2.867000102996826
1981-09-29,2.8580000400543213
1981-09-30,2.8489999771118164
1981-10-01,2.83899998664856
1981-10-02,2.819000005722046
1981-10-03,2.805000066757202
1981-10-04,2.7980000972747803
1981-10-05,2.799000024795532
1981-10-06,2.7929999828338623
1981-10-07,2.7809998989105225
1981-10-08,2.7669999599456787
1981-10-09,2.7660000324249268
1981-10-10,2.775000095367432
1981-10-11,2.7850000858306885
1981-10-12,2.7799999713897705
1981-10-13,2.7739999294281006
1981-10-14,2.7720000743865967
1981-10-15,2.7679998874664307
1981-10-16,2.755000114440918
1981-10-17,2.752000093460083
1981-10-18,2.74399995803833
1981-10-19,2.734999895095825
1981-10-20,2.736999988555908
1981-10-21,2.74399995803833
1981-10-22,2.753999948501587
1981-10-23,2.765000104904175
1981-10-24,2.765000104904175
1981-10-25,2.749000072479248
1981-10-26,2.765000104904175
1981-10-27,2.7809998989105225
1981-10-28,2.7869999408721924
1981-10-29,2.7890000343322754
1981-10-30,2.7929999828338623
1981-10-31,2.8010001182556152
1981-11-01,2.805000066757202
1981-11-02,2.822000026702881
1981-11-03,2.82699990272522
1981-11-04,2.8329999446868896
1981-11-05,2.8420000076293945
1981-11-06,2.8480000495910645
1981-11-07,2.8410000801086426
1981-11-08,2.845999956130981
1981-11-09,2.8489999771118164
1981-11-10,2.8570001125335693
1981-11-11,2.861999988555908
1981-11-12,2.859999895095825
1981-11-13,2.86899995803833
1981-11-14,2.869999885559082
1981-11-15,2.881999969482422
1981-11-16,2.8989999294281006
1981-11-17,2.9030001163482666
1981-11-18,2.9059998989105225
1981-11-19,2.8970000743865967
1981-11-20,2.907000064849853
1981-11-21,2.8940000534057617
1981-11-22,2.8989999294281006
1981-11-23,2.8970000743865967
1981-11-24,2.882999897003174
1981-11-25,2.874000072479248
1981-11-26,2.871999979019165
1981-11-27,2.878000020980835
1981-11-28,2.878000020980835
1981-11-29,2.882999897003174
1981-11-30,2.9030001163482666
1981-12-01,2.8989999294281006
1981-12-02,2.901000022888184
1981-12-03,2.9049999713897705
1981-12-04,2.8980000019073486
1981-12-05,2.869999885559082
1981-12-06,2.869999885559082
1981-12-07,2.868000030517578
1981-12-08,2.865999937057495
1981-12-09,2.871000051498413
1981-12-10,2.868000030517578
1981-12-11,2.865000009536743
1981-12-12,2.864000082015991
1981-12-13,2.867000102996826
1981-12-14,2.867000102996826
1981-12-15,2.864000082015991
1981-12-16,2.8570001125335693
1981-12-17,2.8550000190734863
1981-12-18,2.8559999465942383
1981-12-19,2.871000051498413
1981-12-20,2.878000020980835
1981-12-21,2.874000072479248
1981-12-22,2.875
1981-12-23,2.869999885559082
1981-12-24,2.878000020980835
1981-12-25,2.878000020980835
1981-12-26,2.875
1981-12-27,2.872999906539917
1981-12-28,2.871000051498413
1981-12-29,2.867000102996826
1981-12-30,2.874000072479248
1981-12-31,2.86299991607666
1982-01-01,2.865000009536743
1982-01-02,2.872999906539917
1982-01-03,2.8919999599456787
1982-01-04,2.885999917984009
1982-01-05,2.8919999599456787
1982-01-06,2.9040000438690186
1982-01-07,2.907000064849853
1982-01-08,2.890000104904175
1982-01-09,2.8980000019073486
1982-01-10,2.9049999713897705
1982-01-11,2.9019999504089355
1982-01-12,2.901000022888184
1982-01-13,2.9089999198913574
1982-01-14,2.9089999198913574
1982-01-15,2.8929998874664307
